This	February 25, 1968	Last	Weeks
Week	Fiction	Week	On List
""			
1	THE CONFESSIONS OF NAT TURNER, by William Styron.	1	19
""			
2	TOPAZ, by Leon Uris.	3	22
""			
3	VANISHED, by Fletcher Knebel.	4	5
""			
4	CHRISTY, by Catherine Marshall.	2	17
""			
5	THE GABRIEL HOUNDS, by Mary Stewart.	5	22
""			
6	THE PRESIDENT'S PLANE IS MISSING, by Robert J. Serling.	6	13
""			
7	THE EXHIBITIONIST, by Henry Sutton.	--	11
""			
8	ROSEMARY'S BABY, by Ira Levin.	9	38
""			
9	THE TOWER OF BABEL, by Morris West.	--	1
""			
10	WHERE EAGLES DARE, by Alistair MacLean.	8	8
This	February 25, 1968	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	BETWEEN PARENT AND CHILD, by Haim G. Ginott.	3	13
""			
2	THE NAKED APE, by Desmond Morris.	6	3
""			
3	"""OUR CROWD"": THE GREAT JEWISH FAMILIES OF NEW YORK, by Stephen"	1	31
""	Birmingham.		
""			
4	NICHOLAS AND ALEXANDRA, by Robert K. Massie.	2	24
""			
5	TOLSTOY, by Henri Troyat.	4	8
""			
6	RICKENBACKER, by Edward V. Rickenbacker.	5	15
""			
7	THE ECONOMICS OF CRISIS, by Eliot Janeway.	9	2
""			
8	THOMAS WOLFE, by Andrew Turnbull.	8	2
""			
9	MEMOIRS, by George F. Kennan.	7	13
""			
10	THE NEW INDUSTRIAL STATE, by John Kenneth Galbraith.	--	23
