This		March 31, 1968	Last	Weeks
Week		Fiction	Week	On List
""				
1	VANISHED, by Fletcher Knebel.		2	10
""				
2	THE CONFESSIONS OF NAT TURNER, by William Styron.		1	24
""				
3	MYRA BRECKINRIDGE, by Gore Vidal.		6	5
""				
4	TOPAZ, by Leon Uris.		4	27
""				
5	THE TOWER OF BABEL, by Morris West.		3	6
""				
6	CHRISTY, by Catherine Marshall.		5	22
""				
7	AIRPORT, by Arthur Hailey.		--	1
""				
8	THE EXHIBITIONIST, by Henry Sutton.		7	16
""				
9	THE PRESIDENT'S PLANE IS MISSING, by Robert J. Serling.		8	18
""				
10	ROSEMARY'S BABY, by Ira Levin.		9	42
This	March 31, 1968	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	THE NAKED APE, by Desmond Morris.	1	8
""			
2	BETWEEN PARENT AND CHILD, by Haim G. Ginott.	2	18
""			
3	"""OUR CROWD"": THE GREAT JEWISH FAMILIES OF NEW YORK, by Stephen"	4	36
""	Birmingham.		
""			
4	NICHOLAS AND ALEXANDRA, by Robert K. Massie.	3	29
""			
5	RICKENBACKER, by Edward V. Rickenbacker.	5	20
""			
6	GIPSY MOTH CIRCLES THE WORLD, by Francis Chichester.	8	3
""			
7	THE WAY THINGS WORK: AN ILLUSTRATED ENCYCLOPEDIA OF	7	4
""	TECHNOLOGY.		
""			
8	TOLSTOY, by Henri Troyat.	6	13
""			
9	KENNEDY AND JOHNSON, by Evelyn Lincoln.	--	1
""			
10	THE ENGLISH, by David Frost and Antony Jay.	--	2
