This		April 7, 1968	Last	Weeks
Week		Fiction	Week	On List
""				
1	AIRPORT, by Arthur Hailey.		7	2
""				
2	VANISHED, by Fletcher Knebel.		1	11
""				
3	MYRA BRECKINRIDGE, by Gore Vidal.		3	6
""				
4	THE CONFESSIONS OF NAT TURNER, by William Styron.		2	25
""				
5	TOPAZ, by Leon Uris.		4	28
""				
6	THE TOWER OF BABEL, by Morris West.		5	7
""				
7	CHRISTY, by Catherine Marshall.		6	23
""				
8	THE EXHIBITIONIST, by Henry Sutton.		8	17
""				
9	THE PRESIDENT'S PLANE IS MISSING, by Robert J. Serling.		9	19
""				
10	ROSEMARY'S BABY, by Ira Levin.		10	43
This	April 7, 1968	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	THE NAKED APE, by Desmond Morris.	1	9
""			
2	BETWEEN PARENT AND CHILD, by Haim G. Ginott.	2	19
""			
3	NICHOLAS AND ALEXANDRA, by Robert K. Massie.	4	30
""			
4	"""OUR CROWD"": THE GREAT JEWISH FAMILIES OF NEW YORK, by Stephen"	3	37
""	Birmingham.		
""			
5	GIPSY MOTH CIRCLES THE WORLD, by Francis Chichester.	6	4
""			
6	RICKENBACKER, by Edward V. Rickenbacker.	5	21
""			
7	THE WAY THINGS WORK: AN ILLUSTRATED ENCYCLOPEDIA OF	7	5
""	TECHNOLOGY.		
""			
8	TOLSTOY, by Henri Troyat.	8	14
""			
9	THE ECONOMICS OF CRISIS, by Eliot Janeway.	--	4
""			
10	THE DOUBLE HELIX, by James Watson.	--	2
