This		April 14, 1968	Last	Weeks
Week		Fiction	Week	On List
""				
1	AIRPORT, by Arthur Hailey.		1	3
""				
2	VANISHED, by Fletcher Knebel.		2	12
""				
3	MYRA BRECKINRIDGE, by Gore Vidal.		3	7
""				
4	THE TOWER OF BABEL, by Morris West.		6	8
""				
5	TOPAZ, by Leon Uris.		5	29
""				
6	THE CONFESSIONS OF NAT TURNER, by William Styron.		4	26
""				
7	CHRISTY, by Catherine Marshall.		7	24
""				
8	THE PRESIDENT'S PLANE IS MISSING, by Robert J. Serling.		9	20
""				
9	THE EXHIBITIONIST, by Henry Sutton.		8	18
""				
10	COUPLES, by John Updike.		--	1
This	April 14, 1968	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	THE NAKED APE, by Desmond Morris.	1	10
""			
2	BETWEEN PARENT AND CHILD, by Haim G. Ginott.	2	20
""			
3	NICHOLAS AND ALEXANDRA, by Robert K. Massie.	3	31
""			
4	"""OUR CROWD"": THE GREAT JEWISH FAMILIES OF NEW YORK, by"	4	38
""	Stephen Birmingham.		
""			
5	GIPSY MOTH CIRCLES THE WORLD, by Francis Chichester.	5	5
""			
6	THE DOUBLE HELIX, by James Watson.	10	3
""			
7	THE WAY THINGS WORK: AN ILLUSTRATED ENCYCLOPEDIA OF	7	6
""	TECHNOLOGY.		
""			
8	RICKENBACKER, by Edward V. Rickenbacker.	6	22
""			
9	THE ENGLISH, by David Frost and Antony Jay.	--	3
""			
10	KENNEDY AND JOHNSON, by Evelyn Lincoln.	--	2
