This		April 28, 1968	Last	Weeks
Week		Fiction	Week	On List
""				
1	AIRPORT, by Arthur Hailey.		1	5
""				
2	MYRA BRECKINRIDGE, by Gore Vidal.		2	9
""				
3	VANISHED, by Fletcher Knebel.		3	14
""				
4	COUPLES, by John Updike.		8	3
""				
5	THE TOWER OF BABEL, by Morris West.		4	10
""				
6	TOPAZ, by Leon Uris.		6	31
""				
7	THE CONFESSIONS OF NAT TURNER, by William Styron.		5	28
""				
8	CHRISTY, by Catherine Marshall.		7	26
""				
9	THE EXHIBITIONIST, by Henry Sutton.		9	20
""				
10	THE PRESIDENT'S PLANE IS MISSING, by Robert J. Serling.		10	22
This	April 28, 1968	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	THE NAKED APE, by Desmond Morris.	1	12
""			
2	BETWEEN PARENT AND CHILD, by Haim G. Ginott.	2	22
""			
3	NICHOLAS AND ALEXANDRA, by Robert K. Massie.	5	33
""			
4	THE DOUBLE HELIX, by James Watson.	6	5
""			
5	"""OUR CROWD"": THE GREAT JEWISH FAMILIES OF NEW YORK, by"	4	40
""	Stephen Birmingham.		
""			
6	GIPSY MOTH CIRCLES THE WORLD, by Francis Chichester.	3	7
""			
7	THE WAY THINGS WORK: AN ILLUSTRATED ENCYCLOPEDIA OF	7	8
""	TECHNOLOGY.		
""			
8	THE ENGLISH, by David Frost and Antony Jay.	8	5
""			
9	KENNEDY AND JOHNSON, by Evelyn Lincoln.	9	4
""			
10	RICKENBACKER, by Edward V. Rickenbacker.	--	23
