This		May 5, 1968	Last	Weeks
Week		Fiction	Week	On List
""				
1	AIRPORT, by Arthur Hailey.		1	6
""				
2	COUPLES, by John Updike.		4	4
""				
3	MYRA BRECKINRIDGE, by Gore Vidal.		2	10
""				
4	VANISHED, by Fletcher Knebel.		3	15
""				
5	THE TOWER OF BABEL, by Morris West.		5	11
""				
6	CHRISTY, by Catherine Marshall.		8	27
""				
7	TOPAZ, by Leon Uris.		6	32
""				
8	TUNC, by Lawrence Durrell.		--	1
""				
9	THE CONFESSIONS OF NAT TURNER, by William Styron.		7	29
""				
10	THE TRIUMPH, by John Kenneth Galbraith.		--	1
This	May 5, 1968	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	BETWEEN PARENT AND CHILD, by Haim G. Ginott.	2	23
""			
2	THE NAKED APE, by Desmond Morris.	1	13
""			
3	"""OUR CROWD"": THE GREAT JEWISH FAMILIES OF NEW YORK, by"	5	41
""	Stephen Birmingham.		
""			
4	THE DOUBLE HELIX, by James Watson.	4	6
""			
5	GIPSY MOTH CIRCLES THE WORLD, by Francis Chichester.	6	8
""			
6	NICHOLAS AND ALEXANDRA, by Robert K. Massie.	3	34
""			
7	THE ENGLISH, by David Frost and Antony Jay.	8	6
""			
8	THE WAY THINGS WORK: AN ILLUSTRATED ENCYCLOPEDIA OF	7	9
""	TECHNOLOGY.		
""			
9	KENNEDY AND JOHNSON, by Evelyn Lincoln.	9	5
""			
10	A MASS FOR THE DEAD, by William Gibson.	--	1
