This		May 12, 1968	Last	Weeks
Week		Fiction	Week	On List
""				
1	AIRPORT, by Arthur Hailey.		1	7
""				
2	COUPLES, by John Updike.		2	5
""				
3	MYRA BRECKINRIDGE, by Gore Vidal.		3	11
""				
4	VANISHED, by Fletcher Knebel.		4	16
""				
5	THE TOWER OF BABEL, by Morris West.		5	12
""				
6	TOPAZ, by Leon Uris.		7	33
""				
7	CHRISTY, by Catherine Marshall.		6	28
""				
8	TESTIMONY OF TWO MEN, by Taylor Caldwell.		--	1
""				
9	THE TRIUMPH, by John Kenneth Galbraith.		10	2
""				
10	THE PRESIDENT'S PLANE IS MISSING, by Robert J. Serling.		--	23
This	May 12, 1968	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	BETWEEN PARENT AND CHILD, by Haim G. Ginott.	1	24
""			
2	THE NAKED APE, by Desmond Morris.	2	14
""			
3	THE DOUBLE HELIX, by James Watson.	4	7
""			
4	NICHOLAS AND ALEXANDRA, by Robert K. Massie.	6	35
""			
5	"""OUR CROWD"": THE GREAT JEWISH FAMILIES OF NEW YORK, by"	3	42
""	Stephen Birmingham.		
""			
6	GIPSY MOTH CIRCLES THE WORLD, by Francis Chichester.	5	9
""			
7	THE WAY THINGS WORK: AN ILLUSTRATED ENCYCLOPEDIA OF	8	10
""	TECHNOLOGY.		
""			
8	THE ENGLISH, by David Frost and Antony Jay.	7	7
""			
9	THE FRENCH CHEF COOKBOOK, by Julia Child.	--	1
""			
10	KENNEDY AND JOHNSON, by Evelyn Lincoln.	9	6
