This		May 19, 1968	Last	Weeks
Week		Fiction	Week	On List
""				
1	AIRPORT, by Arthur Hailey.		1	8
""				
2	COUPLES, by John Updike.		2	6
""				
3	MYRA BRECKINRIDGE, by Gore Vidal.		3	12
""				
4	VANISHED, by Fletcher Knebel.		4	17
""				
5	TOPAZ, by Leon Uris.		6	34
""				
6	THE TOWER OF BABEL, by Morris West.		5	13
""				
7	CHRISTY, by Catherine Marshall.		7	29
""				
8	THE CONFESSIONS OF NAT TURNER, by William Styron.		--	30
""				
9	THE TRIUMPH, by John Kenneth Galbraith.		9	3
""				
10	TUNC, by Lawrence Durrell.		--	2
This	May 19, 1968	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	THE NAKED APE, by Desmond Morris.	2	15
""			
2	BETWEEN PARENT AND CHILD, by Haim G. Ginott.	1	25
""			
3	THE DOUBLE HELIX, by James Watson.	3	8
""			
4	"""OUR CROWD"": THE GREAT JEWISH FAMILIES OF NEW YORK, by"	5	43
""	Stephen Birmingham.		
""			
5	GIPSY MOTH CIRCLES THE WORLD, by Francis Chichester.	6	10
""			
6	NICHOLAS AND ALEXANDRA, by Robert K. Massie.	4	36
""			
7	KENNEDY AND JOHNSON, by Evelyn Lincoln.	10	7
""			
8	THE RIGHT PEOPLE, by Stephen Birmingham.	--	1
""			
9	THE CENTER, by Stewart Alsop.	--	1
""			
10	THE ENGLISH, by David Frost and Antony Jay.	8	8
