This		May 26, 1968	Last	Weeks
Week		Fiction	Week	On List
""				
1	AIRPORT, by Arthur Hailey.		1	9
""				
2	COUPLES, by John Updike.		2	7
""				
3	MYRA BRECKINRIDGE, by Gore Vidal.		3	13
""				
4	TOPAZ, by Leon Uris.		5	35
""				
5	VANISHED, by Fletcher Knebel.		4	18
""				
6	TESTIMONY OF TWO MEN, by Taylor Caldwell.		--	2
""				
7	THE CONFESSIONS OF NAT TURNER, by William Styron.		8	31
""				
8	CHRISTY, by Catherine Marshall.		7	30
""				
9	TUNC, by Lawrence Durrell.		10	3
""				
10	THE TOWER OF BABEL, by Morris West.		6	14
This	May 26, 1968	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	BETWEEN PARENT AND CHILD, by Haim G. Ginott.	2	26
""			
2	THE NAKED APE, by Desmond Morris.	1	16
""			
3	THE FRENCH CHEF COOKBOOK, by Julia Child.	--	2
""			
4	THE DOUBLE HELIX, by James Watson.	3	9
""			
5	THE RIGHT PEOPLE, by Stephen Birmingham.	8	2
""			
6	IBERIA, by James A. Michener.	--	1
""			
7	GIPSY MOTH CIRCLES THE WORLD, by Francis Chichester.	5	11
""			
8	NICHOLAS AND ALEXANDRA, by Robert K. Massie.	6	37
""			
9	THE ENGLISH, by David Frost and Antony Jay.	10	9
""			
10	"""OUR CROWD"": THE GREAT JEWISH FAMILIES OF NEW YORK, by"	4	44
""	Stephen Birmingham.		
