This		June 2, 1968	Last	Weeks
Week		Fiction	Week	On List
""				
1	AIRPORT, by Arthur Hailey.		1	10
""				
2	COUPLES, by John Updike.		2	8
""				
3	MYRA BRECKINRIDGE, by Gore Vidal.		3	14
""				
4	TOPAZ, by Leon Uris.		4	36
""				
5	VANISHED, by Fletcher Knebel.		5	19
""				
6	THE CONFESSIONS OF NAT TURNER, by William Styron.		7	32
""				
7	TESTIMONY OF TWO MEN, by Taylor Caldwell.		6	3
""				
8	THE TOWER OF BABEL, by Morris West.		10	15
""				
9	CHRISTY, by Catherine Marshall.		8	31
""				
10	TUNC, by Lawrence Durrell.		9	4
This	June 2, 1968	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	THE NAKED APE, by Desmond Morris.	2	17
""			
2	BETWEEN PARENT AND CHILD, by Haim G. Ginott.	1	27
""			
3	IBERIA, by James A. Michener.	6	2
""			
4	THE RIGHT PEOPLE, by Stephen Birmingham.	5	3
""			
5	THE DOUBLE HELIX, by James Watson.	4	10
""			
6	THE FRENCH CHEF COOKBOOK, by Julia Child.	3	3
""			
7	NICHOLAS AND ALEXANDRA, by Robert K. Massie.	8	38
""			
8	"""OUR CROWD"": THE GREAT JEWISH FAMILIES OF NEW YORK, by"	10	45
""	Stephen Birmingham.		
""			
9	THE CENTER, by Stewart Alsop.	--	2
""			
10	GIPSY MOTH CIRCLES THE WORLD, by Francis Chichester.	7	12
