This		June 9, 1968	Last	Weeks
Week		Fiction	Week	On List
""				
1	AIRPORT, by Arthur Hailey.		1	11
""				
2	COUPLES, by John Updike.		2	9
""				
3	MYRA BRECKINRIDGE, by Gore Vidal.		3	15
""				
4	TOPAZ, by Leon Uris.		4	37
""				
5	VANISHED, by Fletcher Knebel.		5	20
""				
6	TESTIMONY OF TWO MEN, by Taylor Caldwell.		7	4
""				
7	THE TRIUMPH, by John Kenneth Galbraith.		--	4
""				
8	CHRISTY, by Catherine Marshall.		9	32
""				
9	THE CONFESSIONS OF NAT TURNER, by William Styron.		6	33
""				
10	TUNC, by Lawrence Durrell.		10	5
This	June 9, 1968	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	BETWEEN PARENT AND CHILD, by Haim G. Ginott.	2	28
""			
2	THE NAKED APE, by Desmond Morris.	1	18
""			
3	IBERIA, by James A. Michener.	3	3
""			
4	THE RIGHT PEOPLE, by Stephen Birmingham.	4	4
""			
5	THE DOUBLE HELIX, by James Watson.	5	11
""			
6	"""OUR CROWD"": THE GREAT JEWISH FAMILIES OF NEW YORK, by"	8	46
""	Stephen Birmingham.		
""			
7	THE FRENCH CHEF COOKBOOK, by Julia Child.	6	4
""			
8	NICHOLAS AND ALEXANDRA, by Robert K. Massie.	7	39
""			
9	GIPSY MOTH CIRCLES THE WORLD, by Francis Chichester.	10	13
""			
10	THE CENTER, by Stewart Alsop.	9	3
