This		June 16, 1968	Last	Weeks
Week		Fiction	Week	On List
""				
1	AIRPORT, by Arthur Hailey.		1	12
""				
2	COUPLES, by John Updike.		2	10
""				
3	MYRA BRECKINRIDGE, by Gore Vidal.		3	16
""				
4	VANISHED, by Fletcher Knebel.		5	21
""				
5	TOPAZ, by Leon Uris.		4	38
""				
6	TESTIMONY OF TWO MEN, by Taylor Caldwell.		6	5
""				
7	THE CONFESSIONS OF NAT TURNER, by William Styron.		9	34
""				
8	CHRISTY, by Catherine Marshall.		8	33
""				
9	THE TOWER OF BABEL, by Morris West.		--	16
""				
10	TUNC, by Lawrence Durrell.		10	6
This	June 16, 1968	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	BETWEEN PARENT AND CHILD, by Haim G. Ginott.	1	29
""			
2	THE NAKED APE, by Desmond Morris.	2	19
""			
3	THE RIGHT PEOPLE, by Stephen Birmingham.	4	5
""			
4	IBERIA, by James A. Michener.	3	4
""			
5	THE FRENCH CHEF COOKBOOK, by Julia Child.	7	5
""			
6	THE DOUBLE HELIX, by James Watson.	5	12
""			
7	THE CENTER, by Stewart Alsop.	10	4
""			
8	"""OUR CROWD"": THE GREAT JEWISH FAMILIES OF NEW YORK, by"	6	47
""	Stephen Birmingham.		
""			
9	GIPSY MOTH CIRCLES THE WORLD, by Francis Chichester.	9	14
""			
10	NICHOLAS AND ALEXANDRA, by Robert K. Massie.	8	40
