This		June 23, 1968	Last	Weeks
Week		Fiction	Week	On List
""				
1	AIRPORT, by Arthur Hailey.		1	13
""				
2	COUPLES, by John Updike.		2	11
""				
3	MYRA BRECKINRIDGE, by Gore Vidal.		3	17
""				
4	TOPAZ, by Leon Uris.		5	39
""				
5	TESTIMONY OF TWO MEN, by Taylor Caldwell.		6	6
""				
6	VANISHED, by Fletcher Knebel.		4	22
""				
7	THE CONFESSIONS OF NAT TURNER, by William Styron.		7	35
""				
8	TUNC, by Lawrence Durrell.		10	7
""				
9	CHRISTY, by Catherine Marshall.		8	34
""				
10	THE TOWER OF BABEL, by Morris West.		9	17
This	June 23, 1968	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	BETWEEN PARENT AND CHILD, by Haim G. Ginott.	1	30
""			
2	IBERIA, by James A. Michener.	4	5
""			
3	THE NAKED APE, by Desmond Morris.	2	20
""			
4	THE RIGHT PEOPLE, by Stephen Birmingham.	3	6
""			
5	"THE MONEY GAME, by ""Adam Smith""."	--	1
""			
6	THE FRENCH CHEF COOKBOOK, by Julia Child.	5	6
""			
7	THE DOUBLE HELIX, by James Watson.	6	13
""			
8	THE CENTER, by Stewart Alsop.	7	5
""			
9	OR I'LL DRESS YOU IN MOURNING, by Larry Collins and Dominique	--	1
""	Lapierre.		
""			
10	NICHOLAS AND ALEXANDRA, by Robert K. Massie.	10	41
