This		June 30, 1968	Last	Weeks
Week		Fiction	Week	On List
""				
1	COUPLES, by John Updike.		2	12
""				
2	AIRPORT, by Arthur Hailey.		1	14
""				
3	MYRA BRECKINRIDGE, by Gore Vidal.		3	18
""				
4	TESTIMONY OF TWO MEN, by Taylor Caldwell.		5	7
""				
5	TOPAZ, by Leon Uris.		4	40
""				
6	VANISHED, by Fletcher Knebel.		6	23
""				
7	THE CONFESSIONS OF NAT TURNER, by William Styron.		7	36
""				
8	RED SKY AT MORNING, by Richard Bradford.		--	1
""				
9	TUNC, by Lawrence Durrell.		8	8
""				
10	THE TRIUMPH, by John Kenneth Galbraith.		--	5
This	June 30, 1968	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	BETWEEN PARENT AND CHILD, by Haim G. Ginott.	1	31
""			
2	IBERIA, by James A. Michener.	2	6
""			
3	"THE MONEY GAME, by ""Adam Smith""."	5	2
""			
4	THE RIGHT PEOPLE, by Stephen Birmingham.	4	7
""			
5	THE NAKED APE, by Desmond Morris.	3	21
""			
6	THE CENTER, by Stewart Alsop.	8	6
""			
7	THE DOUBLE HELIX, by James Watson.	7	14
""			
8	OR I'LL DRESS YOU IN MOURNING, by Larry Collins and Dominique	9	2
""	Lapierre.		
""			
9	THE FRENCH CHEF COOKBOOK, by Julia Child.	6	7
""			
10	THE DOCTOR'S QUICK WEIGHT LOSS DIET, by Irwin Maxwell Stillman and	--	1
""	Samm Sinclair Baker.		
