This		July 7, 1968	Last	Weeks
Week		Fiction	Week	On List
""				
1	AIRPORT, by Arthur Hailey.		2	15
""				
2	COUPLES, by John Updike.		1	13
""				
3	TESTIMONY OF TWO MEN, by Taylor Caldwell.		4	8
""				
4	MYRA BRECKINRIDGE, by Gore Vidal.		3	19
""				
5	VANISHED, by Fletcher Knebel.		6	24
""				
6	TOPAZ, by Leon Uris.		5	41
""				
7	TELL ME HOW LONG THE TRAIN'S BEEN GONE, by James Baldwin.		--	1
""				
8	CHRISTY, by Catherine Marshall.		--	35
""				
9	THE CONFESSIONS OF NAT TURNER, by William Styron.		7	37
""				
10	HEAVEN HELP US!, by Herbert Tarr.		--	1
This	July 7, 1968	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	"THE MONEY GAME, by ""Adam Smith""."	3	3
""			
2	BETWEEN PARENT AND CHILD, by Haim G. Ginott.	1	32
""			
3	IBERIA, by James A. Michener.	2	7
""			
4	THE NAKED APE, by Desmond Morris.	5	22
""			
5	THE RIGHT PEOPLE, by Stephen Birmingham.	4	8
""			
6	OR I'LL DRESS YOU IN MOURNING, by Larry Collins and Dominique	8	3
""	Lapierre.		
""			
7	THE CENTER, by Stewart Alsop.	6	7
""			
8	THE FRENCH CHEF COOKBOOK, by Julia Child.	9	8
""			
9	THE DOUBLE HELIX, by James Watson.	7	15
""			
10	THE DOCTOR'S QUICK WEIGHT LOSS DIET, by Irwin Maxwell Stillman and	10	2
""	Samm Sinclair Baker.		
