This		July 14, 1968	Last	Weeks
Week		Fiction	Week	On List
""				
1	AIRPORT, by Arthur Hailey.		1	16
""				
2	COUPLES, by John Updike.		2	14
""				
3	TESTIMONY OF TWO MEN, by Taylor Caldwell.		3	9
""				
4	MYRA BRECKINRIDGE, by Gore Vidal.		4	20
""				
5	TOPAZ, by Leon Uris.		6	42
""				
6	THE CONFESSIONS OF NAT TURNER, by William Styron.		9	38
""				
7	VANISHED, by Fletcher Knebel.		5	25
""				
8	HEAVEN HELP US!, by Herbert Tarr.		10	2
""				
9	RED SKY AT MORNING, by Richard Bradford.		--	2
""				
10	TUNC, by Lawrence Durrell.		--	9
This	July 14, 1968	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	"THE MONEY GAME, by ""Adam Smith""."	1	4
""			
2	IBERIA, by James A. Michener.	3	8
""			
3	BETWEEN PARENT AND CHILD, by Haim G. Ginott.	2	33
""			
4	THE NAKED APE, by Desmond Morris.	4	23
""			
5	THE RIGHT PEOPLE, by Stephen Birmingham.	5	9
""			
6	OR I'LL DRESS YOU IN MOURNING, by Larry Collins and Dominique	6	4
""	Lapierre.		
""			
7	THE DOCTOR'S QUICK WEIGHT LOSS DIET, by Irwin Maxwell Stillman and	10	3
""	Samm Sinclair Baker.		
""			
8	THE DOUBLE HELIX, by James Watson.	9	16
""			
9	THE FRENCH CHEF COOKBOOK, by Julia Child.	8	9
""			
10	THE RICH AND THE SUPER-RICH, by Ferdinand Lundberg.	--	1
