This		July 21, 1968	Last	Weeks
Week		Fiction	Week	On List
""				
1	AIRPORT, by Arthur Hailey.		1	17
""				
2	COUPLES, by John Updike.		2	15
""				
3	TESTIMONY OF TWO MEN, by Taylor Caldwell.		3	10
""				
4	MYRA BRECKINRIDGE, by Gore Vidal.		4	21
""				
5	VANISHED, by Fletcher Knebel.		7	26
""				
6	TOPAZ, by Leon Uris.		5	43
""				
7	TUNC, by Lawrence Durrell.		10	10
""				
8	TELL ME HOW LONG THE TRAIN'S BEEN GONE, by James Baldwin.		--	2
""				
9	TRUE GRIT, by Charles Portis.		--	1
""				
10	CHRISTY, by Catherine Marshall.		--	36
This	July 21, 1968	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	"THE MONEY GAME, by ""Adam Smith""."	1	5
""			
2	IBERIA, by James A. Michener.	2	9
""			
3	BETWEEN PARENT AND CHILD, by Haim G. Ginott.	3	34
""			
4	THE RIGHT PEOPLE, by Stephen Birmingham.	5	10
""			
5	THE NAKED APE, by Desmond Morris.	4	24
""			
6	OR I'LL DRESS YOU IN MOURNING, by Larry Collins and Dominique	6	5
""	Lapierre.		
""			
7	THE FRENCH CHEF COOKBOOK, by Julia Child.	9	10
""			
8	THE DOCTOR'S QUICK WEIGHT LOSS DIET, by Irwin Maxwell Stillman and	7	4
""	Samm Sinclair Baker.		
""			
9	NICHOLAS AND ALEXANDRA, by Robert K. Massie.	--	42
""			
10	THE DOUBLE HELIX, by James Watson.	8	17
