This		July 28, 1968	Last	Weeks
Week		Fiction	Week	On List
""				
1	AIRPORT, by Arthur Hailey.		1	18
""				
2	COUPLES, by John Updike.		2	16
""				
3	TESTIMONY OF TWO MEN, by Taylor Caldwell.		3	11
""				
4	TOPAZ, by Leon Uris.		6	44
""				
5	MYRA BRECKINRIDGE, by Gore Vidal.		4	22
""				
6	VANISHED, by Fletcher Knebel.		5	27
""				
7	TRUE GRIT, by Charles Portis.		9	2
""				
8	HEAVEN HELP US!, by Herbert Tarr.		--	3
""				
9	THE CONFESSIONS OF NAT TURNER, by William Styron.		--	39
""				
10	CHRISTY, by Catherine Marshall.		10	37
This	July 28, 1968	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	"THE MONEY GAME, by ""Adam Smith""."	1	6
""			
2	BETWEEN PARENT AND CHILD, by Haim G. Ginott.	3	35
""			
3	IBERIA, by James A. Michener.	2	10
""			
4	THE NAKED APE, by Desmond Morris.	5	25
""			
5	THE RIGHT PEOPLE, by Stephen Birmingham.	4	11
""			
6	OR I'LL DRESS YOU IN MOURNING, by Larry Collins and Dominique	6	6
""	Lapierre.		
""			
7	THE DOCTOR'S QUICK WEIGHT LOSS DIET, by Irwin Maxwell Stillman and	8	5
""	Samm Sinclair Baker.		
""			
8	THE RICH AND THE SUPER-RICH, by Ferdinand Lundberg.	--	2
""			
9	THE DOUBLE HELIX, by James Watson.	10	18
""			
10	THE CENTER, by Stewart Alsop.	--	8
