This		August 4, 1968	Last	Weeks
Week		Fiction	Week	On List
""				
1	AIRPORT, by Arthur Hailey.		1	19
""				
2	COUPLES, by John Updike.		2	17
""				
3	TESTIMONY OF TWO MEN, by Taylor Caldwell.		3	12
""				
4	TRUE GRIT, by Charles Portis.		7	3
""				
5	TOPAZ, by Leon Uris.		4	45
""				
6	VANISHED, by Fletcher Knebel.		6	28
""				
7	MYRA BRECKINRIDGE, by Gore Vidal.		5	23
""				
8	RED SKY AT MORNING, by Richard Bradford.		--	3
""				
9	CHRISTY, by Catherine Marshall.		10	38
""				
10	THE CONFESSIONS OF NAT TURNER, by William Styron.		9	40
This	August 4, 1968	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	"THE MONEY GAME, by ""Adam Smith""."	1	7
""			
2	IBERIA, by James A. Michener.	3	11
""			
3	BETWEEN PARENT AND CHILD, by Haim G. Ginott.	2	36
""			
4	THE RIGHT PEOPLE, by Stephen Birmingham.	5	12
""			
5	THE NAKED APE, by Desmond Morris.	4	26
""			
6	THE RICH AND THE SUPER-RICH, by Ferdinand Lundberg.	8	3
""			
7	OR I'LL DRESS YOU IN MOURNING, by Larry Collins and Dominique	6	7
""	Lapierre.		
""			
8	THE DOCTOR'S QUICK WEIGHT LOSS DIET, by Irwin Maxwell Stillman and	7	6
""	Samm Sinclair Baker.		
""			
9	THE AMERICAN CHALLENGE, by J.J. Servan-Schreiber.	--	1
""			
10	THE FRENCH CHEF COOKBOOK, by Julia Child.	--	11
