This		August 11, 1968	Last	Weeks
Week		Fiction	Week	On List
""				
1	AIRPORT, by Arthur Hailey.		1	20
""				
2	COUPLES, by John Updike.		2	18
""				
3	TESTIMONY OF TWO MEN, by Taylor Caldwell.		3	13
""				
4	TRUE GRIT, by Charles Portis.		4	4
""				
5	TOPAZ, by Leon Uris.		5	46
""				
6	MYRA BRECKINRIDGE, by Gore Vidal.		7	24
""				
7	VANISHED, by Fletcher Knebel.		6	29
""				
8	HEAVEN HELP US!, by Herbert Tarr.		--	4
""				
9	THE CONFESSIONS OF NAT TURNER, by William Styron.		10	41
""				
10	RED SKY AT MORNING, by Richard Bradford.		8	4
This	August 11, 1968	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	"THE MONEY GAME, by ""Adam Smith""."	1	8
""			
2	BETWEEN PARENT AND CHILD, by Haim G. Ginott.	3	37
""			
3	IBERIA, by James A. Michener.	2	12
""			
4	THE RICH AND THE SUPER-RICH, by Ferdinand Lundberg.	6	4
""			
5	THE RIGHT PEOPLE, by Stephen Birmingham.	4	13
""			
6	THE NAKED APE, by Desmond Morris.	5	27
""			
7	OR I'LL DRESS YOU IN MOURNING, by Larry Collins and Dominique	7	8
""	Lapierre.		
""			
8	THE DOCTOR'S QUICK WEIGHT LOSS DIET, by Irwin Maxwell Stillman and	8	7
""	Samm Sinclair Baker.		
""			
9	THE AMERICAN CHALLENGE, by J.J. Servan-Schreiber.	9	2
""			
10	THE FRENCH CHEF COOKBOOK, by Julia Child.	10	12
