This		August 18, 1968	Last	Weeks
Week		Fiction	Week	On List
""				
1	AIRPORT, by Arthur Hailey.		1	21
""				
2	COUPLES, by John Updike.		2	19
""				
3	TESTIMONY OF TWO MEN, by Taylor Caldwell.		3	14
""				
4	TOPAZ, by Leon Uris.		5	47
""				
5	TRUE GRIT, by Charles Portis.		4	5
""				
6	RED SKY AT MORNING, by Richard Bradford.		10	5
""				
7	MYRA BRECKINRIDGE, by Gore Vidal.		6	25
""				
8	THE CONFESSIONS OF NAT TURNER, by William Styron.		9	42
""				
9	VANISHED, by Fletcher Knebel.		7	30
""				
10	HEAVEN HELP US!, by Herbert Tarr.		8	5
This	August 18, 1968	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	"THE MONEY GAME, by ""Adam Smith""."	1	9
""			
2	THE RICH AND THE SUPER-RICH, by Ferdinand Lundberg.	4	5
""			
3	BETWEEN PARENT AND CHILD, by Haim G. Ginott.	2	38
""			
4	IBERIA, by James A. Michener.	3	13
""			
5	THE RIGHT PEOPLE, by Stephen Birmingham.	5	14
""			
6	THE NAKED APE, by Desmond Morris.	6	28
""			
7	THE AMERICAN CHALLENGE, by J.J. Servan-Schreiber.	9	3
""			
8	OR I'LL DRESS YOU IN MOURNING, by Larry Collins and Dominique	7	9
""	Lapierre.		
""			
9	THE DOCTOR'S QUICK WEIGHT LOSS DIET, by Irwin Maxwell Stillman and	8	8
""	Samm Sinclair Baker.		
""			
10	SOUL ON ICE, by Eldridge Cleaver.	--	1
