This		August 25, 1968	Last	Weeks
Week		Fiction	Week	On List
""				
1	AIRPORT, by Arthur Hailey.		1	22
""				
2	COUPLES, by John Updike.		2	20
""				
3	TESTIMONY OF TWO MEN, by Taylor Caldwell.		3	15
""				
4	TRUE GRIT, by Charles Portis.		5	6
""				
5	TOPAZ, by Leon Uris.		4	48
""				
6	RED SKY AT MORNING, by Richard Bradford.		6	6
""				
7	HEAVEN HELP US!, by Herbert Tarr.		10	6
""				
8	THE CONFESSIONS OF NAT TURNER, by William Styron.		8	43
""				
9	THE QUEEN'S CONFESSION, by Victoria Holt.		--	1
""				
10	MYRA BRECKINRIDGE, by Gore Vidal.		7	26
This	August 25, 1968	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	"THE MONEY GAME, by ""Adam Smith""."	1	10
""			
2	THE RICH AND THE SUPER-RICH, by Ferdinand Lundberg.	2	6
""			
3	IBERIA, by James A. Michener.	4	14
""			
4	BETWEEN PARENT AND CHILD, by Haim G. Ginott.	3	39
""			
5	THE RIGHT PEOPLE, by Stephen Birmingham.	5	15
""			
6	THE AMERICAN CHALLENGE, by J.J. Servan-Schreiber.	7	4
""			
7	OR I'LL DRESS YOU IN MOURNING, by Larry Collins and Dominique	8	10
""	Lapierre.		
""			
8	THE NAKED APE, by Desmond Morris.	6	29
""			
9	THE DOCTOR'S QUICK WEIGHT LOSS DIET, by Irwin Maxwell Stillman and	9	9
""	Samm Sinclair Baker.		
""			
10	THE CENTER, by Stewart Alsop.	--	9
