This		September 1, 1968	Last	Weeks
Week		Fiction	Week	On List
""				
1	AIRPORT, by Arthur Hailey.		1	23
""				
2	COUPLES, by John Updike.		2	21
""				
3	TESTIMONY OF TWO MEN, by Taylor Caldwell.		3	16
""				
4	TRUE GRIT, by Charles Portis.		4	7
""				
5	TOPAZ, by Leon Uris.		5	49
""				
6	RED SKY AT MORNING, by Richard Bradford.		6	7
""				
7	MYRA BRECKINRIDGE, by Gore Vidal.		10	27
""				
8	HEAVEN HELP US!, by Herbert Tarr.		7	7
""				
9	VANISHED, by Fletcher Knebel.		--	31
""				
10	THE CONFESSIONS OF NAT TURNER, by William Styron.		8	44
This	September 1, 1968	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	"THE MONEY GAME, by ""Adam Smith""."	1	11
""			
2	THE RICH AND THE SUPER-RICH, by Ferdinand Lundberg.	2	7
""			
3	BETWEEN PARENT AND CHILD, by Haim G. Ginott.	4	40
""			
4	IBERIA, by James A. Michener.	3	15
""			
5	THE AMERICAN CHALLENGE, by J.J. Servan-Schreiber.	6	5
""			
6	THE RIGHT PEOPLE, by Stephen Birmingham.	5	16
""			
7	THE NAKED APE, by Desmond Morris.	8	30
""			
8	OR I'LL DRESS YOU IN MOURNING, by Larry Collins and Dominique	7	11
""	Lapierre.		
""			
9	THE DOCTOR'S QUICK WEIGHT LOSS DIET, by Irwin Maxwell Stillman and	9	10
""	Samm Sinclair Baker.		
""			
10	SOUL ON ICE, by Eldridge Cleaver.	--	2
