This		September 8, 1968	Last	Weeks
Week		Fiction	Week	On List
""				
1	AIRPORT, by Arthur Hailey.		1	24
""				
2	COUPLES, by John Updike.		2	22
""				
3	TESTIMONY OF TWO MEN, by Taylor Caldwell.		3	17
""				
4	TRUE GRIT, by Charles Portis.		4	8
""				
5	RED SKY AT MORNING, by Richard Bradford.		6	8
""				
6	TOPAZ, by Leon Uris.		5	50
""				
7	HEAVEN HELP US!, by Herbert Tarr.		8	8
""				
8	MYRA BRECKINRIDGE, by Gore Vidal.		7	28
""				
9	THE QUEEN'S CONFESSION, by Victoria Holt.		--	2
""				
10	VANISHED, by Fletcher Knebel.		9	32
This	September 8, 1968	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	"THE MONEY GAME, by ""Adam Smith""."	1	12
""			
2	THE RICH AND THE SUPER-RICH, by Ferdinand Lundberg.	2	8
""			
3	IBERIA, by James A. Michener.	4	16
""			
4	BETWEEN PARENT AND CHILD, by Haim G. Ginott.	3	41
""			
5	THE AMERICAN CHALLENGE, by J.J. Servan-Schreiber.	5	6
""			
6	THE RIGHT PEOPLE, by Stephen Birmingham.	6	17
""			
7	OR I'LL DRESS YOU IN MOURNING, by Larry Collins and Dominique	8	12
""	Lapierre.		
""			
8	THE NAKED APE, by Desmond Morris.	7	31
""			
9	THE DOCTOR'S QUICK WEIGHT LOSS DIET, by Irwin Maxwell Stillman and	9	11
""	Samm Sinclair Baker.		
""			
10	THE CASE AGAINST CONGRESS, by Drew Pearson and Jack Anderson.	--	1
