This		September 15, 1968	Last	Weeks
Week		Fiction	Week	On List
""				
1	AIRPORT, by Arthur Hailey.		1	25
""				
2	COUPLES, by John Updike.		2	23
""				
3	TESTIMONY OF TWO MEN, by Taylor Caldwell.		3	18
""				
4	TRUE GRIT, by Charles Portis.		4	9
""				
5	TOPAZ, by Leon Uris.		6	51
""				
6	HEAVEN HELP US!, by Herbert Tarr.		7	9
""				
7	RED SKY AT MORNING, by Richard Bradford.		5	9
""				
8	THE QUEEN'S CONFESSION, by Victoria Holt.		9	3
""				
9	MYRA BRECKINRIDGE, by Gore Vidal.		8	29
""				
10	THE SENATOR, by Drew Pearson.		--	1
This	September 15, 1968	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	"THE MONEY GAME, by ""Adam Smith""."	1	13
""			
2	THE RICH AND THE SUPER-RICH, by Ferdinand Lundberg.	2	9
""			
3	BETWEEN PARENT AND CHILD, by Haim G. Ginott.	4	42
""			
4	IBERIA, by James A. Michener.	3	17
""			
5	THE AMERICAN CHALLENGE, by J.J. Servan-Schreiber.	5	7
""			
6	THE RIGHT PEOPLE, by Stephen Birmingham.	6	18
""			
7	THE DOCTOR'S QUICK WEIGHT LOSS DIET, by Irwin Maxwell Stillman and	9	12
""	Samm Sinclair Baker.		
""			
8	THE ELECTRIC KOOL-AID ACID TEST, by Tom Wolfe.	--	1
""			
9	THE NAKED APE, by Desmond Morris.	8	32
""			
10	OR I'LL DRESS YOU IN MOURNING, by Larry Collins and Dominique	7	13
""	Lapierre.		
