This		September 22, 1968	Last	Weeks
Week		Fiction	Week	On List
""				
1	AIRPORT, by Arthur Hailey.		1	26
""				
2	COUPLES, by John Updike.		2	24
""				
3	TESTIMONY OF TWO MEN, by Taylor Caldwell.		3	19
""				
4	TRUE GRIT, by Charles Portis.		4	10
""				
5	RED SKY AT MORNING, by Richard Bradford.		7	10
""				
6	THE SENATOR, by Drew Pearson.		10	2
""				
7	TOPAZ, by Leon Uris.		5	52
""				
8	THE QUEEN'S CONFESSION, by Victoria Holt.		8	4
""				
9	MYRA BRECKINRIDGE, by Gore Vidal.		9	30
""				
10	THE SALZBURG CONNECTION, by Helen MacInnes.		--	1
This	September 22, 1968	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	"THE MONEY GAME, by ""Adam Smith""."	1	14
""			
2	THE RICH AND THE SUPER-RICH, by Ferdinand Lundberg.	2	10
""			
3	BETWEEN PARENT AND CHILD, by Haim G. Ginott.	3	43
""			
4	IBERIA, by James A. Michener.	4	18
""			
5	THE ELECTRIC KOOL-AID ACID TEST, by Tom Wolfe.	8	2
""			
6	THE AMERICAN CHALLENGE, by J.J. Servan-Schreiber.	5	8
""			
7	OR I'LL DRESS YOU IN MOURNING, by Larry Collins and Dominique	10	14
""	Lapierre.		
""			
8	THE DOCTOR'S QUICK WEIGHT LOSS DIET, by Irwin Maxwell Stillman and	7	13
""	Samm Sinclair Baker.		
""			
9	THE RIGHT PEOPLE, by Stephen Birmingham.	6	19
""			
10	THE CASE AGAINST CONGRESS, by Drew Pearson and Jack Anderson.	--	2
