This		September 29, 1968	Last	Weeks
Week		Fiction	Week	On List
""				
1	AIRPORT, by Arthur Hailey.		1	27
""				
2	COUPLES, by John Updike.		2	25
""				
3	TRUE GRIT, by Charles Portis.		4	11
""				
4	TESTIMONY OF TWO MEN, by Taylor Caldwell.		3	20
""				
5	PRESERVE AND PROTECT, by Allen Drury.		--	1
""				
6	THE SENATOR, by Drew Pearson.		6	3
""				
7	THE SALZBURG CONNECTION, by Helen MacInnes.		10	2
""				
8	RED SKY AT MORNING, by Richard Bradford.		5	11
""				
9	HEAVEN HELP US!, by Herbert Tarr.		--	10
""				
10	THE QUEEN'S CONFESSION, by Victoria Holt.		8	5
This	September 29, 1968	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	"THE MONEY GAME, by ""Adam Smith""."	1	15
""			
2	THE RICH AND THE SUPER-RICH, by Ferdinand Lundberg.	2	11
""			
3	BETWEEN PARENT AND CHILD, by Haim G. Ginott.	3	44
""			
4	THE AMERICAN CHALLENGE, by J.J. Servan-Schreiber.	6	9
""			
5	IBERIA, by James A. Michener.	4	19
""			
6	THE CASE AGAINST CONGRESS, by Drew Pearson and Jack Anderson.	10	3
""			
7	THE ELECTRIC KOOL-AID ACID TEST, by Tom Wolfe.	5	3
""			
8	THE DOCTOR'S QUICK WEIGHT LOSS DIET, by Irwin Maxwell Stillman and	8	14
""	Samm Sinclair Baker.		
""			
9	THE ESSENCE OF SECURITY, by Robert S. McNamara.	--	1
""			
10	BLACK RAGE, by William Grier and Price Cobbs.	--	1
