This		October 20,1968	Last	Weeks
Week		Fiction	Week	On List
""				
1	AIRPORT, by Arthur Hailey.		1	30
""				
2	THE SALZBURG CONNECTION, by Helen MacInnes.		3	5
""				
3	PRESERVE AND PROTECT, by Allen Drury.		2	4
""				
4	COUPLES, by John Updike.		5	28
""				
5	TRUE GRIT, by Charles Portis.		6	14
""				
6	THE SENATOR, by Drew Pearson.		7	6
""				
7	TESTIMONY OF TWO MEN, by Taylor Caldwell.		4	23
""				
8	THE HURRICANE YEARS, by Cameron Hawley.		--	1
""				
9	HEAVEN HELP US!, by Herbert Tarr.		--	12
""				
10	RED SKY AT MORNING, by Richard Bradford.		8	14
This	October 20, 1968	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	"THE MONEY GAME, by ""Adam Smith""."	1	18
""			
2	THE RICH AND THE SUPER-RICH, by Ferdinand Lundberg.	2	14
""			
3	MEMOIRS: SIXTY YEARS ON THE FIRING LINE, by Arthur Krock.	--	1
""			
4	BETWEEN PARENT AND CHILD, by Haim G. Ginott.	3	47
""			
5	THE AMERICAN CHALLENGE, by J.J. Servan-Schreiber.	5	12
""			
6	IBERIA, by James A. Michener.	4	22
""			
7	THE DOCTOR'S QUICK WEIGHT LOSS DIET, by Irwin Maxwell Stillman and	--	16
""	Samm Sinclair Baker.		
""			
8	THE ELECTRIC KOOL-AID ACID TEST, by Tom Wolfe.	6	6
""			
9	THE CASE AGAINST CONGRESS, by Drew Pearson and Jack Anderson.	7	6
""			
10	OF DIAMONDS & DIPLOMATS, by Letitia Baldrige.	8	2
