This		October 27, 1968	Last	Weeks
Week		Fiction	Week	On List
""				
1	AIRPORT, by Arthur Hailey.		1	31
""				
2	THE SALZBURG CONNECTION, by Helen MacInnes.		2	6
""				
3	PRESERVE AND PROTECT, by Allen Drury.		3	5
""				
4	COUPLES, by John Updike.		4	29
""				
5	TESTIMONY OF TWO MEN, by Taylor Caldwell.		7	24
""				
6	THE SENATOR, by Drew Pearson.		6	7
""				
7	THE HURRICANE YEARS, by Cameron Hawley.		8	2
""				
8	TRUE GRIT, by Charles Portis.		5	15
""				
9	THE FIRST CIRCLE, by Alexander Solzhenitsyn.		--	2
""				
10	RED SKY AT MORNING, by Richard Bradford.		10	15
This	October 27, 1968	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	"THE MONEY GAME, by ""Adam Smith""."	1	19
""			
2	THE RICH AND THE SUPER-RICH, by Ferdinand Lundberg.	2	15
""			
3	MEMOIRS: SIXTY YEARS ON THE FIRING LINE, by Arthur Krock.	3	2
""			
4	BETWEEN PARENT AND CHILD, by Haim G. Ginott.	4	48
""			
5	THE AMERICAN CHALLENGE, by J.J. Servan-Schreiber.	5	13
""			
6	IBERIA, by James A. Michener.	6	23
""			
7	THE CASE AGAINST CONGRESS, by Drew Pearson and Jack Anderson.	9	7
""			
8	SOUL ON ICE, by Eldridge Cleaver.	--	4
""			
9	OF DIAMONDS & DIPLOMATS, by Letitia Baldrige.	10	3
""			
10	THE DOCTOR'S QUICK WEIGHT LOSS DIET, by Irwin Maxwell Stillman and	7	17
""	Samm Sinclair Baker.		
