This	July 8, 1979	Last	Weeks
Week	Fiction	Week	On List
""			
1	THE MATARESE CIRCLE, by Robert Ludlum. (Richard Marek, $12.50.) The top	1	16
""	American and Soviet agents save Western civilization.		
""			
2	SOPHIE'S CHOICE, by William Styron. (Random House, $12.95.) The nature of	2	3
""	evil explored through the story of two doomed lovers.		
""			
3	WAR AND REMEMBRANCE, by Herman Wouk. (Little, Brown, $15.) The Henry	6	38
""	"family of ""The Winds of War"" during World War II."		
""			
4	THE ISLAND, by Peter Benchley. (Doubleday, $8.95.) A journalist undertakes to	5	7
""	"solve a ""Bermuda triangle"" style mystery."		
""			
5	THE THIRD WORLD WAR: August 1985, by General Sir John Hackett and Other	4	9
""	Top-ranking NATO Generals and Advisors. (Macmillian, $12.95.) A history of the		
""	global war to come.		
""			
6	SHIBUMI, by Trevanian. (Crown, $10.95.) Nicholai Hel, professional assassin,	3	8
""	takes on an international terror organization.		
""			
7	GOOD AS GOLD, by Joseph Heller. (Simon & Schuster, $12.95.) The ambitions	10	16
""	and agonies of some American Jews.		
""			
8	SPHINX, by Robin Cook. (Putnam's, $10.95.) Dirty doings among the pyramids	13	2
""	and in the Valley of the Kings.		
""			
9	HANTA YO, by Ruth Beebe Hill. (Doubleday, $14.95.) Multigenerational saga of	9	19
""	American Indian culture.		
""			
10	THE VICAR OF CHRIST, by Walter F. Murphy. (Macmillian, $12.95.) The first	15	8
""	American pope.		
""			
11	CHESAPEAKE, by James A. Michener. (Random House, $12.95.) Four centuries	8	45
""	of Maryland's Eastern Shore.		
""			
12	GHOST STORY, by Peter Straub. (Coward, McCann & Geogheghan, $10.95.) An	12	11
""	eerie tale of psychic possession and supernatural doings in contemporary		
""	America.		
""			
13	SS-GB, by Len Deighton. (Knopf, $9.95.) Nazi-occupied Britain in 1941.	--	15
""			
14	CLASS REUNION, by Rona Jaffe. (Delacorte, $9.95.) Four Radcliffe girls in the	11	5
""	1950's, and what happens to them between graduation and their 20th reunion.		
""			
15	THERE'S NO SUCH PLACE AS FAR AWAY, by Richard Bach. (Delacorte/	7	3
""	Eleanor Friede, $6.95.) Homilies about love and friendship in the spirit of		
""	"""Jonathan Livingston Seagull."""		
This	July 8, 1979	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	THE COMPLETE SCARSDALE MEDICAL DIET, by Herman Tarnower, M.D. and	1	23
""	Samm Sinclair Baker. (Rawson, Wade, $7.95.) A plan to lose up to 20 pounds in		
""	14 days.		
""			
2	THE BRONX ZOO, by Sparky Lyle and Peter Golenbock. (Crown, $8.95.) A	4	13
""	behind-the-scenes look at the temperamental Yankees by their former star		
""	reliever.		
""			
3	CRUEL SHOES, by Steve Martin. (Putnam's, $8.95.) Zany satire by a young	2	6
""	television comedian.		
""			
4	THE POWERS THAT BE, by David Halberstam. (Knopf, $15.) Four news empires	5	8
""	-- The Los Angeles Times, The Washington Post, Time Inc, and CBS.		
""			
5	THE PRITIKIN PROGRAM, by Nathan Pritikin with Patrick M. McGrady, Jr.	3	9
""	(Grosset & Dunlap, $12.95.) A prescription for health and long life.		
""			
6	HOW TO PROSPER DURING THE COMING BAD YEARS, by Howard J. Ruff.	6	19
""	(Times Books, $8.95.) Personal investment guide.		
""			
7	THE MEDUSA AND THE SNAIL, by Lewis Thomas.  (Viking, $8.95.) Essays by a	7	6
""	biology watcher.		
""			
8	TO SET THE RECORD STRAIGHT, by John J. Sirica. (Norton, $15.) The Federal	9	10
""	judge who presided at the Watergate trial reconsiders the case.		
""			
9	BROCA'S BRAIN, by Carl Sagan. (Random House, $12.95.) Reflections on the	8	3
""	romance of science by a leading astronomer and geophysicist.		
""			
10	LAUREN BACALL BY MYSELF, by Lauren Bacall. (Knopf, $10.95.) Memories of	10	23
""	life with and without Bogart.		
""			
11	THE COMPLETE BOOK OF RUNNING, by James F. Fixx. (Random House, $10.)	11	79
""	For fun and health.		
""			
12	A TIME TO HEAL, by Gerald R. Ford. (Harper & Row/Reader's Digest, $12.95.)	14	2
""	Autobiography of an unassuming man who became the 38th President.		
""			
13	A DISTANT MIRROR, by Barbara W. Tuchman. (Knopf, $15.95.) The calamitous	15	39
""	14th century.		
""			
14	YOU DON'T HAVE TO BE IN WHO'S WHO TO KNOW WHAT'S WHAT, by Sam	--	1
""	Levenson. (Simon & Schuster, $9.95.) Jokes about the human condition.		
""			
15	MOMMIE DEAREST, by Christina Crawford. (Morrow, $9.95.) Life with Joan	--	33
""	Crawford.		
