This	June 8, 1980	Last	Weeks
Week	Fiction	Week	On List
""			
1	THE BOURNE IDENTITY, by Robert Ludlum. (Richard Marek, $12.95.) The	1	14
""	melodramatic adventures of an amnesiac trying to find out who he really is.		
""			
2	PRINCESS DAISY, by Judith Krantz. (Crown, $12.95.) The fight for survival in the	2	19
""	world of glitter, from the Czar's St. Petersburg to Manhattan's SoHo.		
""			
3	RANDOM WINDS, by Belva Plain. (Delacorte, $11.95.) Three generations of	4	5
""	doctors and their families.		
""			
4	NO LOVE LOST, by Helen Van Slyke. (Lippincott, $10.95.) Three New York	3	7
""	society women learn to cope with marriage and men.		
""			
5	THE DEVIL'S ALTERNATIVE, by Frederick Forsyth. (Viking, $12.95.) Countdown	5	19
""	to global doom in 1982.		
""			
6	KANE & ABEL, by Jeffrey Archer. (Simon & Schuster, $13.95.) Battles in a	6	8
""	corporation boardroom between new money and old.		
""			
7	THE NINJA, by Eric Van Lustbader. (M. Evans, $12.95.) The erotic side of the	8	5
""	Japanese samurai tradition.		
""			
8	THE BLEEDING HEART, by Marilyn French. (Summit Books, $12.95.) An	9	11
""	American feminist's romance in England.		
""			
9	INNOCENT BLOOD, by P.D. James. (Scribner's, $10.95.) A veteran whodunit	10	3
""	writer now investigates the mysteries of family life.		
""			
10	PORTRAITS, by Cynthia Freeman. (Arbor House, $11.95.) A New York Lower	7	23
""	East Side family makes it to San Francisco Bay in four generations.		
""			
11	WHO'S ON FIRST, by William F. Buckley Jr. (Doubleday, $9.95.) Blackford Oakes	13	12
""	plays his part in the race with the Russians to get a satellite into orbit.		
""			
12	SMILEY'S PEOPLE, by John le Carré. (Knopf, $10.95.) The great British spy has	12	25
""	a final confrontation with his Russian counterpart.		
""			
13	CREEK MARY'S BLOOD, by Dee Brown. (Holt, Rinehart & Winston, $12.95.) Four	11	10
""	generations of American Indian family life on the Great Plains.		
""			
14	WHIP HAND, by Dick Francis. (Harper & Row, $9.95.) Dirty doings at the race	14	3
""	track.		
""			
15	BACK BAY, by William Martin. (Crown, $12.95.) Through 200 years of Boston's	15	7
""	history with the Pratt family and a priceless tea set.		
This	June 8, 1980	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	THY NEIGHBOR'S WIFE, by Gay Talese. (Doubleday, $14.95.) How American	1	5
""	sexuality has changed in our time.		
""			
2	FREE TO CHOOSE, by Milton & Rose Friedman. (Harcourt Brace Jovanovich,	3	18
""	$9.95.) The Nobel laureate economist and his wife discuss the relationship of		
""	government and the economy: tie-in to the current PBS television series.		
""			
3	MEN IN LOVE, by Nancy Friday. (Delacorte, $12.95.) Men's fantasies about	7	6
""	women and sex.		
""			
4	WILL, by G. Gordon Liddy. (St. Martin's, $13.95.) A Watergate principal tells his	8	5
""	story.		
""			
5	THE THIRD WAVE, by Alvin Toffler. (Morrow, $14.95.) The changes our society is	6	10
""	about to undergo: a pop prognosticator's analysis.		
""			
6	DONAHUE, by Phil Donahue. (Simon & Schuster, $11.95.) The host of the	2	17
""	popular television talk show tells his life story.		
""			
7	JIM FIXX'S SECOND BOOK OF RUNNING, by James F. Fixx. (Random House,	5	7
""	$10.) More advice for both beginners and marathoners.		
""			
8	THE BRETHREN, by Bob Woodward and Scott Armstrong. (Simon & Schuster,	10	24
""	$13.95.) Inside the Supreme Court.		
""			
9	AUNT ERMA'S COPE BOOK, by Erma Bombeck. (McGraw-Hill, $8.95.) How to	4	35
""	get from Monday to Friday ... in 12 days.		
""			
10	HEARTSOUNDS, by Martha Weinman Lear. (Simon & Schuster, $12.95.) Life with	11	2
""	a dying husband.		
""			
11	WAR WITHIN AND WITHOUT, by Anne Morrow Lindbergh. (Harcourt Brace	9	3
""	Jovanovich/Helen & Kurt Wolff, $14.95.) Life in the family of Charles Lindbergh,		
""	1939-44.		
""			
12	THE REAL WAR, by Richard Nixon. (Warner Books, $12.50.) A grim view of the	13	2
""	situation of the United States and the world.		
""			
13	ANATOMY OF AN ILLNESS, by Norman Cousins. (Norton, $9.95.) A patient's	12	29
""	account of his successful fight against a serious disease.		
""			
14	THE BOOK OF LISTS #2, by Irving Wallace, David Wallechinsky, Amy Wallace	--	10
""	and Sylvia Wallace. (Morrow, $12.95.) More facts that entertain.		
""			
15	NOTHING DOWN, by Robert G. Allen. (Simon & Schuster, $9.95.) How to buy	14	7
""	real estate with little or no money down.		
