This	March 3, 1985	Last	Weeks
Week	Fiction	Week	On List
""			
1	IF TOMORROW COMES, by Sidney Sheldon. (Morrow, $17.95.) A young woman	1	6
""	contrives to destroy the crime lords who got her an undeserved prison term.		
""			
2	GLITZ, by Elmore Leonard. (Arbor House, $14.95.) The escapades, romantic and	3	4
""	melodramatic, of a cop on the lam from a murder case in Miami.		
""			
3	THE SICILIAN, by Mario Puzo. (Linden Press/ Simon & Schuster, $17.95.) A	2	16
""	fictionalized life of Salvatore Giuliano, the Sicilian bandit of the 1940's.		
""			
4	THE TALISMAN, by Stephen King and Peter Straub. (Viking, $18.95.) Two parallel	4	19
""	worlds and a young boy who can travel between them.		
""			
5	SO LONG, AND THANKS FOR ALL THE FISH, by Douglas Adams. (Harmony,	6	12
""	$12.95.) Returned to Earth, the hero of the ''Hitchhiker's Trilogy'' science fantasy is		
""	confronted with new riddles.		
""			
6	THE LIFE AND HARD TIMES OF HEIDI ABROMOWITZ, by Joan Rivers.	5	16
""	(Delacorte, $8.95.) The comedienne tells the ''true story'' of her high school		
""	''friend,'' a notorious tramp.		
""			
7	THE FINISHING SCHOOL, by Gail Godwin. (Viking, $16.95.) A young girl's	8	3
""	relationship with an extraordinary older woman unintentionally leads to her		
""	mentor's downfall.		
""			
8	THINNER, by Richard Bachman. (New American Library, $12.95.) In this new	--	1
""	novel by Stephen King, a young lawyer finds his body mysteriously wasting away		
""	after a traffic accident.		
""			
9	MOSCOW RULES, by Robert Moss. (Villard Books, $16.95.) A Soviet citizen,	7	4
""	angry at conditions behind the Iron Curtain, plots a new revolution.		
""			
10	SEE YOU LATER ALLIGATOR, by William F. Buckley Jr. (Doubleday, $15.95.)	11	2
""	John F. Kennedy sends Blackford Oakes to Havana on the eve of the Missile		
""	Crisis.		
""			
11	LOVE AND WAR, by John Jakes. (Harcourt Brace Jovanovich, $19.95.) A Civil	9	20
""	War saga of families from Pennsylvania and South Carolina.		
""			
12	ILLUSIONS OF LOVE, by Cynthia Freeman. (Putnam, $16.95.) A romantic	10	14
""	triangle that spans a quarter-century, from Italy to San Francisco.		
""			
13	''. . . AND LADIES OF THE CLUB,'' by Helen Hooven Santmyer. (Putnam,	14	38
""	$19.95.) Life in an Ohio town, 1868 to 1932.		
""			
14	MEXICO SET, by Len Deighton. (Knopf, $16.95.) The espionage game begun in	--	1
""	''Berlin Game'' resumes in Mexico City.		
This	March 3, 1985	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	IACOCCA: An Autobiography, by Lee Iacocca with William Novak. (Bantam,	1	18
""	$19.95.) The rise of the automobile executive from immigrants' son to top jobs at		
""	Ford and Chrysler.		
""			
2	LOVING EACH OTHER, by Leo Buscaglia. (Slack/Holt, Rinehart & Winston,	2	27
""	$13.95.) Suggestions for ''setting our priorities right in order to enjoy life to the		
""	fullest.''		
""			
3	CITIZEN HUGHES, by Michael Drosnin. (Holt, Rinehart & Winston, $18.95.)	3	4
""	Howard Hughes's attempts to control the Government during the last years of his		
""	life.		
""			
4	SON OF THE MORNING STAR, by Evan S. Connell. (North Point Press, $20.) A	4	12
""	biography of George Armstrong Custer that is also a history of the Plains Indian		
""	wars.		
""			
5	BREAKING WITH MOSCOW, by Arkady N. Shevchenko. (Knopf, $18.95.) The	--	1
""	autobiography of the highest-ranking Soviet official ever to defect.		
""			
6	THE BRIDGE ACROSS FOREVER, by Richard Bach. (Morrow, $16.95.) The	5	26
""	author of ''Jonathan Livingston Seagull'' recounts his search for a true love.		
""			
7	PIECES OF MY MIND, by Andrew A. Rooney. (Atheneum, $12.95.) Essays by the	10	25
""	journalist and television commentator.		
""			
8	A LIGHT IN THE ATTIC, by Shel Silverstein. (Harper & Row, $13.50.) Light verse	6	119
""	and drawings by the author.		
""			
9	MOSES THE KITTEN, by James Herriot. (St. Martin's, $9.95.) A waif kitten is	7	21
""	adopted by a pig; illustrated.		
""			
10	''THE GOOD WAR,'' by Studs Terkel. (Pantheon, $19.95.) World War II as	9	20
""	remembered by men and women who lived through it.		
""			
11	THE COURAGE TO CHANGE, by Dennis Wholey. (Houghton Mifflin, $15.95.)	11	3
""	Conversations with two dozen men and women, many of them celebrities, about		
""	their problems with alcoholism.		
""			
12	HEY, WAIT A MINUTE, I WROTE A BOOK! by John Madden with Dave	8	24
""	Anderson. (Villard Books, $14.95.) An anecdotal autobiography of the popular		
""	television sports announcer.		
""			
13	THE SEVEN MOUNTAINS OF THOMAS MERTON, by Michael Mott. (Houghton	14	3
""	Mifflin, $24.95.) The life of the American religious writer and poet.		
""			
14	DR. BURNS' PRESCRIPTION FOR HAPPINESS, by George Burns. (Putnam,	12	17
""	$11.95.) The octogenarian comedian provides a regimen of laughs.		
