This	April 10, 1988	Last	Weeks
Week	Fiction	Week	On List
""			
1	THE ICARUS AGENDA, by Robert Ludlum. (Random House, $19.95.) A	1	5
""	congressman's secret dealings with terrorists may bring him the Presidency - or		
""	death.		
""			
2	THE BONFIRE OF THE VANITIES, by Tom Wolfe. (Farrar, Straus & Giroux,	2	23
""	$19.95.) A bond trader caught in the jungles of New York.		
""			
3	TREASURE, by Clive Cussler. (Simon & Schuster, $18.95.) Dirk Pitt leads a	4	4
""	global pursuit of hijackers of an ancient Egyptian literary trove.		
""			
4	HOT MONEY, by Dick Francis. (Putnam, $17.95.) Which member of a gold	3	5
""	arbitrageur's family was responsible for the murder of his fifth wife?		
""			
5	INHERITANCE, by Judith Michael. (Poseidon, $18.95.) A woman finds herself	8	4
""	enmeshed in the jealousies and conspiracies of a wealthy family on Boston's		
""	Beacon Hill.		
""			
6	THE SHELL SEEKERS, by Rosamunde Pilcher. (St. Martin's, $19.95.) A woman	6	8
""	and a painting tie together three generations of an English family.		
""			
7	PRESUMED INNOCENT, by Scott Turow. (Farrar, Straus & Giroux, $18.95.) A	7	42
""	brutal murder creates a crisis among a big city's politicians and lawyers.		
""			
8	THE TOMMYKNOCKERS, by Stephen King. (Putnam, $19.95.) Two writers'	5	20
""	zealous attempt to unearth mysterious artifacts creates nightmares in a Maine		
""	village.		
""			
9	KING OF THE MURGOS, by David Eddings. (Del Rey/Ballantine, $16.95.) Book	--	1
""	Two of the fantasy saga that began with ''Guardians of the West.''		
""			
10	S., by John Updike. (Knopf, $17.95.) A New England woman, in search of a new	12	3
""	life, joins a religious commune in Arizona.		
""			
11	PATRIOT GAMES, by Tom Clancy. (Putnam, $19.95.) The C.I.A.'s Jack Ryan	9	37
""	battles international terrorists in England, Ireland and America.		
""			
12	THE LAST PRINCESS, by Cynthia Freeman. (Putnam, $18.95.) What ensues	--	1
""	when a New York socialite sacrifices a family fortune and a wealthy fiancé to		
""	marry for love.		
""			
13	EMPEROR OF THE AIR, by Ethan Canin. (Houghton Mifflin, $15.95.) Nine short	14	3
""	stories about a variety of characters and situations.		
""			
14	KALEIDOSCOPE, by Danielle Steel. (Delacorte, $18.95.) Three sisters, separated	10	25
""	by fate, and the lawyer whose mission is to find and reunite them.		
""			
15	2061: Odyssey Three, by Arthur C. Clarke. (Del Rey/Ballantine, $17.95.)	11	19
This	April 10, 1988	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	LOVE, MEDICINE & MIRACLES, by Bernie S. Siegel. (Harper & Row, $17.95.) A	5	48
""	surgeon stresses the importance of the patient's mind and emotions.		
""			
2	TRUMP: The Art of the Deal, by Donald J. Trump with Tony Schwartz. (Random	1	17
""	House, $19.95.) The career and business style of the New York entrepreneur.		
""			
3	THE RISE AND FALL OF THE GREAT POWERS, by Paul Kennedy. (Random	2	10
""	House, $24.95.) How economic and military forces affected the fortunes of great		
""	nations in the past 500 years.		
""			
4	THRIVING ON CHAOS, by Tom Peters. (Knopf, $19.95.) The author discusses	3	22
""	how companies can survive in today's and tomorrow's turbulent world.		
""			
5	CITIZEN COHN, by Nicholas von Hoffman. (Doubleday, $19.95.) The life and	--	1
""	times of the New York lawyer and political figure Roy M. Cohn.		
""			
6	THE PRIZE PULITZER, by Roxanne Pulitzer with Kathleen Maxa. (Villard,	4	9
""	$17.95.) Life in Palm Beach's steamy rich society recalled by a woman who		
""	married into it.		
""			
7	BATTLE CRY OF FREEDOM, by James M. McPherson. (Oxford University, $30.)	6	6
""	A history of the American Civil War era.		
""			
8	CHAOS, by James Gleick. (Viking, $19.95.) An account of a fast-developing new	7	12
""	science that involves disorder, arrhythmia and the bizarre and the random in		
""	nature.		
""			
9	OSCAR WILDE, by Richard Ellmann. (Knopf, $24.95.) The life of the dramatist,	9	7
""	essayist, poet and wit.		
""			
10	THE TRIAL OF SOCRATES, by I. F. Stone. (Little) Brown, $18.95.) The Greek	--	1
""	philosopher's life and death, with an unfavorable assessment of his ideas.		
""			
11	ON THE OUTSIDE LOOKING IN, by Michael Reagan with Joe Hyams. (Zebra,	--	1
""	$17.95.) The autobiography of the adopted son of Ronald Reagan and Jane		
""	Wyman.		
""			
12	THE CLOSING OF THE AMERICAN MIND, by Allan Bloom. (Simon & Schuster,	12	44
""	$18.95.) A critique of liberal arts education and American undergraduates during		
""	the past 25 years.		
""			
13	UNFORGETTABLE FIRE, by Eamon Dunphy. (Warner, $16.95.) The story of the	13	2
""	rock-and-roll band U2, from Ireland to the Continent to America.		
""			
14	THE CAT WHO CAME FOR CHRISTMAS, by Cleveland Amory. (Little, Brown,	11	20
""	$15.95.) A self- styled curmudgeon's memoir of a cat.		
