This	December 22, 1991	Last	Weeks
Week	Fiction	Week	On List
""			
1	SCARLETT, by Alexandra Ripley. (Warner, $24.95.) The sequel to Margaret	1	11
""	"Mitchell's ""Gone With the Wind."""		
""			
2	NO GREATER LOVE, by Danielle Steel. (Delacorte, $23.) The sinking of the	2	5
""	Titanic greatly alters the lives and fortunes of Edwina Winfield and her large		
""	family.		
""			
3	NEEDFUL THINGS, by Stephen King. (Viking, $24.95.) A newcomer opens a	3	10
""	shop in Castle Rock, Me., bringing bargains as well as nightmares and disasters		
""	to the town.		
""			
4	THE SUM OF ALL FEARS, by Tom Clancy. (Putnam, $24.95.) Middle Eastern	4	18
""	terrorists edge the world to the brink of nuclear war.		
""			
5	THE JOLLY CHRISTMAS POSTMAN, written and illustrated by Janet and Allan	--	1
""	Ahlberg. (Little, Brown, $16.95.) A mailman delivers letters to nursery rhyme and		
""	fairy tale characters.		
""			
6	NIGHT OVER WATER, by Ken Follett. (Morrow, $23.) High drama on a trans-	6	12
""	Atlantic flight after the outbreak of World War II.		
""			
7	THE DOOMSDAY CONSPIRACY, by Sidney Sheldon. (Morrow, $22.) An	10	15
""	American naval officer, assigned to investigate a balloon accident in the Alps, has		
""	to contend with a mysterious force.		
""			
8	THE POLAR EXPRESS, written and illustrated by Chris Van Allsburg. (Houghton	--	31
""	Mifflin, $17.95.) A small boy's Christmas Eve train ride.		
""			
9	WLT, by Garrison Keillor. (Viking, $21.95.) The birth, prosperity and decline of a	7	3
""	down-home Minneapolis radio station.		
""			
10	COMEBACK, by Dick Francis. (Putnam, $21.95.) A diplomat finds that his past life	8	8
""	in horse racing may help save others.		
""			
11	THE SAPPHIRE ROSE, by David Eddings. (Del Rey/Ballantine, $22.) The third	5	5
""	"volume in ""The Elenium,"" a fantasy saga."		
""			
12	THE FIRM, by John Grisham. (Doubleday, $19.95.) A young lawyer learns that his	9	41
""	firm is engaged in secret, possibly illegal activities.		
""			
13	REMEMBER, by Barbara Taylor Bradford. (Random House, $22.50.) A television	11	8
""	correspondent takes a trip across Europe to learn the truth about her fiance's		
""	suicide.		
""			
14	GONE WITH THE WIND, by Margaret Mitchell. (Macmillan, $21.95.) The 1936	--	6
""	novel about Scarlett O'Hara and Rhett Butler.		
This	December 22, 1991	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	ME: Stories of My Life, by Katharine Hepburn. (Knopf, $25.) The actress's	1	14
""	memoirs.		
""			
2	UNDER FIRE, by Oliver L. North with William Novak. (HarperCollins, $25.) The	3	7
""	autobiography of the retired Marine lieutenant colonel, with his view of the Iran-		
""	contra affair.		
""			
3	UH-OH, by Robert Fulghum. (Villard, $19.) Reflections on life's commonplaces,	4	17
""	from meat loaf to pet dogs to fireflies.		
""			
4	DEN OF THIEVES, by James B. Stewart. (Simon & Schuster, $25.) How Ivan	2	10
""	Boesky, Michael Milken, Martin Siegel and Dennis Levine plundered and created		
""	havoc on Wall Street.		
""			
5	MEMORIES, by Ralph Emery with Tom Carter. (Macmillan, $19.95.) The	5	3
""	autobiography of a country-music broadcaster.		
""			
6	THE JORDAN RULES, by Sam Smith. (Simon & Schuster, $22.) A reporter's	8	3
""	account of an N.B.A. championship season spent with Michael Jordan and the		
""	Chicago Bulls.		
""			
7	CHILDHOOD, by Bill Cosby. (Putnam, $14.95.) The entertainer recalls his	6	7
""	boyhood and reflects on the ways of today's kids.		
""			
8	PRAIRYERTH, by William Least Heat-Moon. (Davison/Houghton Mifflin, $24.95.)	10	8
""	A close look at the people and mores of Chase County, Kansas.		
""			
9	MOLLY IVINS CAN'T SAY THAT, CAN SHE? by Molly Ivins. (Random House,	12	6
""	$23.) Essays about the current political and cultural scene by the Texas journalist.		
""			
10	WHEN YOU LOOK LIKE YOUR PASSPORT PHOTO, IT'S TIME TO GO HOME,	13	18
""	by Erma Bombeck. (HarperCollins, $19.95.) The tribulations of travel suffered in all		
""	parts of the world.		
""			
11	BACKLASH, by Susan Faludi. (Crown, $24.) A journalist contends that the media	7	5
""	and political groups are staging a war against women's rights.		
""			
12	PARLIAMENT OF WHORES, by P. J. O'Rourke. (Entrekin/Atlantic Monthly,	9	27
""	$19.95.) A humorist's attempt to explain the Federal Government.		
""			
13	THE WORLD IS MY HOME, by James A. Michener. (Random House, $25.) The	--	1
""	autobiography of the popular novelist.		
""			
14	ANNIE LEIBOVITZ: Photographs, 1970-1990. (HarperCollins, $60.) An album of	--	1
""	portraits of musicians, politicians, writers, athletes, dancers and artists.		
""			
15	IRON JOHN, by Robert Bly. (Addison-Wesley, $19.95.) The passage of the male	11	57
