This	October 16,1994	Last	Weeks
Week	Fiction	Week	On List
""			
1	TALTOS, by Anne Rice. (Knopf, $25.) The survivor of a species of witches copes	2	2
""	"with his heritage; a sequel to ""The Witching Hour"" and ""Lasher."""		
""			
2	DEBT OF HONOR, by Tom Clancy. (Putnam, $25.95.) Jack Ryan and C.I.A.	1	7
""	agents vs. a Japanese plot.		
""			
3	NOTHING LASTS FOREVER, by Sidney Sheldon. (Morrow, $23.) Three women	3	4
""	doctors in San Francisco contend with lovers, betrayers and killers.		
""			
4	THE CELESTINE PROPHECY, by James Redfield. (Warner, $17.95.) An ancient	5	33
""	manuscript, found in Peru, provides insights into achieving a fulfilling life.		
""			
5	THE BODY FARM, by Patricia Cornwell. (Scribners, $23.) Dr. Kay Scarpetta	4	5
""	investigates a murder.		
""			
6	POLITICALLY CORRECT BEDTIME STORIES, by James Finn Garner.	6	17
""	(Macmillan, $8.95.) Classic tales respun to avoid offending current sensibilities.		
""			
7	THE BRIDGES OF MADISON COUNTY, by Robert James Waller. (Warner,	8	114
""	$16.95.) A photographer and a farmer's lonely wife in Iowa.		
""			
8	WILD HORSES, by Dick Francis. (Putnam, $22.95.) A film maker pursues the	12	2
""	secret confided to him by a dying racing expert.		
""			
9	THE GIFT, by Danielle Steel. (Delacorte, $15.) A woman's visit to a small town	7	12
""	changes many lives.		
""			
10	A SON OF THE CIRCUS, by John Irving. (Random House, $25.) Returning to his	11	7
""	native India, a Canadian physician encounters a murderer he once knew.		
""			
11	BROTHERS AND SISTERS, by Bebe Moore Campbell. (Putnam, $22.95.) The	13	4
""	loyalties of a black woman are tested by colleagues' behavior in a Los Angeles		
""	bank.		
""			
12	THE CHAMBER, by John Grisham. (Doubleday, $24.95.) A lawyer represents a	9	19
""	racist on death row.		
""			
13	MUTANT MESSAGE DOWN UNDER, by Marlo Morgan. (HarperCollins, $18.) In	--	5
""	Australia's outback, an American woman learns about aboriginal philosophy.		
""			
14	DISNEY'S THE LION KING, adapted by Don Ferguson. (Mouse Works, $6.98.)	14	11
""	The coming of age of animal royalty, told in words and pictures.		
""			
15	HOLLYWOOD KIDS, by Jackie Collins. (Simon & Schuster, $23.50.) The	10	3
""	tribulations of the privileged adult children of legendary movie stars.		
""			
16	ONE TRUE THING, by Anna Quindlen. (Random House, $22.) A woman who	15	3
This	October 16, 1994	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	BARBARA BUSH: A Memoir, by Barbara Bush. (Drew/Scribners, $25.) The former	1	5
""	First Lady recalls her life, from childhood to the present.		
""			
2	JAMES HERRIOT'S CAT STORIES, by James Herriot. (St. Martin's, $16.95.) A	4	3
""	collection of tales by the Yorkshire veterinarian.		
""			
3	COUPLEHOOD, by Paul Reiser. (Bantam, $19.95.) Essays on the ups and downs	2	6
""	of marriage by the television star and stand-up comedian.		
""			
4	DOLLY, by Dolly Parton. (HarperCollins, $25.) The autobiography of the country	--	1
""	singer.		
""			
5	BASEBALL, by Geoffrey C. Ward and Ken Burns. (Knopf, $60.) An illustrated	3	4
""	history of the game.		
""			
6	ALL'S FAIR, by Mary Matalin and James Carville with Peter Knobler. (Random	7	3
""	House/Simon & Schuster, $24.) The 1992 Presidential campaign through the eyes		
""	of a pair of romantically involved consultants.		
""			
7	DON'T STAND TOO CLOSE TO A NAKED MAN, by Tim Allen. (Hyperion,	11	2
""	"$19.95.) Anecdotes and meditations on life by the star of ""Home Improvement."""		
""			
8	MIDNIGHT IN THE GARDEN OF GOOD AND EVIL, by John Berendt. (Random	5	32
""	House, $23.) The mysterious death of a young man in Savannah, Ga.		
""			
9	THE BOOK OF VIRTUES, by William J. Bennett. (Simon & Schuster, $30.) Moral	6	43
""	stories adapted from the Greeks, the Bible, folklore and elsewhere.		
""			
10	THE HOT ZONE, by Richard Preston. (Random House, $23.) The discovery of a	--	1
""	lethal virus, more infectious than H.I.V., and the efforts to keep it from spreading.		
""			
11	EMBRACED BY THE LIGHT, by Betty J. Eadie with Curtis Taylor. (Gold Leaf	8	75
""	Press, $16.95.) A woman's near-death experience.		
""			
12	MOTHERLESS DAUGHTERS, by Hope Edelman. (Addison-Wesley, $23.) The	9	12
""	experiences of women after the deaths of their mothers.		
""			
13	NO ORDINARY TIME, by Doris Kearns Goodwin. (Simon & Schuster, $30.) The	--	1
""	roles of Franklin and Eleanor Roosevelt on the home front during World War II.		
""			
14	BRANDO: Songs My Mother Taught Me, by Marlon Brando with Robert Lindsey.	15	4
""	(Random House, $25.) The memoirs of the actor.		
""			
15	RUNNING FROM SAFETY, by Richard Bach. (Morrow, $23.) A middle-aged	--	1
""	man's reflections on what he has learned from life.		
