is	August 11, 2002	Last	Week
ek	Fiction	Week	On Li
""			
1	THE REMNANT, by Tim LaHaye and Jerry B. Jenkins. (Tyndale, $24.99.) Volume 10 of	1	4
""	"the ""Left Behind"" series, in which the forces of good battle the forces of evil after the"		
""	rapture of the saved.		
""			
2	THE LOVELY BONES, by Alice Sebold. (Little, Brown, $21.95.) A 14-year-old girl looks	2	5
""	down from heaven as she describes what happens in the aftermath of her kidnapping and		
""	murder.		
""			
3	ELEVENTH HOUR, by Catherine Coulter. (Putnam, $24.95.) When his identical twin	--	1
""	brother, a priest, is murdered, an F.B.I. agent searches for the killer.		
""			
4	THE BEACH HOUSE, by James Patterson and Peter de Jonge. (Little, Brown, $26.95.)	3	7
""	After his brother drowns in East Hampton, a law student seeks revenge on the powerful		
""	people who he thinks are responsible.		
""			
5	SUNSET IN ST. TROPEZ, by Danielle Steel. (Delacorte, $19.95.) Surprises await a group	4	5
""	of friends who decide to spend August on the Riviera.		
""			
6	THE NANNY DIARIES, by Emma McLaughlin and Nicola Kraus. (St. Martin's, $24.95.) A	5	21
""	satirical look at rich and powerful New Yorkers through the eyes of an Upper East Side		
""	nanny.		
""			
7	AN ACCIDENTAL WOMAN, by Barbara Delinsky. (Simon & Schuster, $25.) The residents	6	2
""	of a quiet New Hampshire town are stunned when a local woman is taken into custody by		
""	the F.B.I.		
""			
8	THE EMPEROR OF OCEAN PARK, by Stephen L. Carter. (Knopf, $26.95.) The patriarch	7	8
""	of a black family, forced to withdraw from consideration for the Supreme Court, dies under		
""	mysterious circumstances.		
""			
9	THE DIVE FROM CLAUSEN'S PIER, by Ann Packer. (Knopf, $24.) A young woman from	10	7
""	Wisconsin, whose fiancé has been rendered a quadriplegic, decides to move to New York		
""	and start a new life.		
""			
0	THE SHELTERS OF STONE, by Jean M. Auel. (Crown, $28.95.) Love and danger in a	9	13
""	"prehistoric society; the latest volume in a series that began with ""The Clan of the Cave"		
""	"Bear."""		
""			
1	HARD EIGHT, by Janet Evanovich. (St. Martin's, $25.95.) Stephanie Plum takes time out	8	6
""	from bounty hunting to search for a 7-year-old New Jersey girl who has been abducted.		
""			
2	LAWRENCE SANDERS: McNALLY'S ALIBI, by Vincent Lardo. (Putnam, $24.95.) A Palm	--	1
""	Beach millionaire hires Archy McNally to find a missing manuscript -- the complete text of		
""	"Truman Capote's novel ""Answered Prayers."""		
""			
3	"IN THIS MOUNTAIN, by Jan Karon. (Viking, $25.95.) In the seventh book of the ""Mitford"	12	9
""	"Years"" series, Cynthia Kavanagh thrives in retirement while her husband, Father Tim,"		
This	August 11, 2002	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	SLANDER, by Ann Coulter. (Crown, $25.95.) The lawyer and pundit enumerates	1	5
""	"""liberal lies about the American right."""		
""			
2	THE LOBSTER CHRONICLES, by Linda Greenlaw. (Hyperion, $22.95.) The	2	4
""	"author of ""The Hungry Ocean"" gives up swordfishing and moves back in with her"		
""	parents on the island where she grew up.		
""			
3	TUXEDO PARK, by Jennet Conant. (Simon & Schuster, $26.) The story of Alfred	13	4
""	Lee Loomis, a Wall Street tycoon who helped establish a top-secret laboratory at		
""	M.I.T. during World War II.		
""			
4	YOU CANNOT BE SERIOUS, by John McEnroe with James Kaplan. (Putnam,	3	7
""	$25.95.) The autobiography of the former tennis star and current commentator.		
""			
5	STUPID WHITE MEN, by Michael Moore. (ReganBooks/ HarperCollins, $24.95.)	4	23
""	"The man behind ""Roger & Me"" takes aim at Republicans and Democrats,"		
""	"corporate America and our ""nation of idiots."""		
""			
6	LUCKY MAN, by Michael J. Fox. (Hyperion, $22.95.) A memoir by the film and	15	17
""	television actor, who was told a decade ago that he had Parkinson's disease.		
""			
7	WHY I AM A CATHOLIC, by Garry Wills. (Houghton Mifflin, $26.) The author of	6	3
""	"""Papal Sin"" explains his beliefs while examining 2,000 years of church history."		
""			
8	JOHN ADAMS, by David McCullough. (Simon & Schuster, $35.) A biography of	5	57
""	the country's first vice president and second president.		
""			
9	THE SEXUAL LIFE OF CATHERINE M., by Catherine Millet. (Grove, $23.) A	9	6
""	French intellectual recalls her erotic exploits.		
""			
10	THE RIGHT WORDS AT THE RIGHT TIME, edited by Marlo Thomas. (Atria, $25.)	7	14
""	More than 100 celebrities describe a turning point in their lives.		
""			
11	SIX DAYS OF WAR, by Michael B. Oren. (Oxford University, $30.) An account of	12	6
""	the Arab-Israeli war in 1967 and how it transformed the Middle East.		
""			
12	A MIND AT A TIME, by Mel Levine. (Simon & Schuster, $26.) A professor of	8	18
""	pediatrics examines the learning patterns of children and the various ways in		
""	which parents and other adults can help them succeed.		
""			
13	WEALTH AND DEMOCRACY, by Kevin Phillips. (Broadway, $29.95.) From the	14	4
""	Revolutionary War to the turn of the 21st century: a political history of the		
""	American rich.		
""			
14	ONCE UPON A TOWN, by Bob Greene. (Morrow, $24.95.) The story of North	11	8
""	Platte, Neb., which millions of American servicemen passed through during World		
""	War II.		
