eek	Fiction	Week	On
""			
1	THE BROKER, by John Grisham. (Doubleday, $27.95.) The C.I.A. arranges a presidential	1	4
""	pardon for a power broker who may know crucial secrets, laying a trap for the foreign		
""	intelligence service that wants him dead.		
""			
2	THE DA VINCI CODE, by Dan Brown. (Doubleday, $24.95.) The murder of a curator at the	2	9
""	Louvre leads to a trail of clues found in the work of Leonardo and to the discovery of a		
""	centuries-old secret society.		
""			
3	SURVIVOR IN DEATH, by J. D. Robb. (Putnam, $23.95.) In 2059, Lt. Eve Dallas has an	--	1
""	eyewitness to the brutal murder of a family: the sole survivor, a 9-year-old girl; by Nora		
""	Roberts, writing pseudonymously.		
""			
4	THE FIVE PEOPLE YOU MEET IN HEAVEN, by Mitch Albom. (Hyperion, $19.95.) An old	3	7
""	man who died while trying to rescue a little girl from danger discovers that all will be		
""	explained to him in the afterlife.		
""			
5	STATE OF FEAR, by Michael Crichton. (HarperCollins, $27.95.) Reverse eco-terrorists	5	9
""	create natural disasters to convince the public that global warming is real.		
""			
6	CONVICTION, by Richard North Patterson. (Random House, $25.95.) A lawyer comes to	4	2
""	believe that her client — who is on death row for the sexual assault and murder of a young		
""	girl — may be innocent.		
""			
7	BY ORDER OF THE PRESIDENT, by W. E. B. Griffin. (Putnam, $26.95.) An Army officer	6	6
""	tries to thwart a terrorist plot to crash a stolen 727 into the Liberty Bell.		
""			
8	CHAINFIRE, by Terry Goodkind. (Tor/Tom Doherty, $29.95.) The 10th volume of the	7	5
""	"""Sword of Truth"" fantasy series."		
""			
9	"LABYRINTH OF EVIL, by James Luceno. (Lucas/Del Rey/Ballantine, $25.95.) A new ""Star"	9	2
""	"Wars"" novel, featuring Anakin Skywalker and Obi-Wan Kenobi."		
""			
0	I AM CHARLOTTE SIMMONS, by Tom Wolfe. (Farrar, Straus & Giroux, $28.95.) A very	15	1
""	smart, very innocent freshman from the Blue Ridge Mountains is amazed by what she finds		
""	at a prestigious university.		
""			
1	PREP, by Curtis Sittenfeld. (Random House, $21.95.) A scholarship student from South	--	1
""	Bend, Ind., encounters a world of privilege when she attends an expensive boarding school		
""	in Massachusetts.		
""			
2	A SALTY PIECE OF LAND, by Jimmy Buffett. (Little, Brown, $27.95.) A cowboy's life is	14	1
""	changed forever when he meets a 101-year-old woman who hires him to be a lighthouse		
""	keeper in the southern Bahamas.		
""			
3	NIGHT FALL, by Nelson DeMille. (Warner, $26.95.) A husband and wife who work for an	11	1
""	antiterrorism task force reopen the investigation into the crash of T.W.A. Flight 800 over		
""	the Atlantic, off Long Island, in 1996.		
""			
4	ALONE, by Lisa Gardner. (Bantam, $24.) A sniper with the Massachusetts State Police	12	3
This	February 20, 2005	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	"BLINK, by Malcolm Gladwell. (Little, Brown, $25.95.) The author of ""The Tipping"	1	4
""	"Point"" explores the importance of hunch and instinct to the workings of the mind."		
""			
2	COLLAPSE, by Jared Diamond. (Viking, $29.95.) A historical investigation, by the	2	6
""	"author of ""Guns, Germs, and Steel,"" into why some societies succeed while others"		
""	fail.		
""			
3	AMERICA (THE BOOK), by Jon Stewart, Ben Karlin and David Javerbaum.	5	20
""	"(Warner, $24.95.) ""The Daily Show"" offers a lavishly illustrated parody of a civics"		
""	textbook.		
""			
4	WITNESS, by Amber Frey. (ReganBooks/HarperCollins, $25.95.) A memoir by the	3	5
""	California massage therapist who testified for the prosecution in the murder trial of		
""	Scott Peterson.		
""			
5	GOD'S POLITICS, by Jim Wallis. (HarperSanFrancisco, $24.95.) An evangelical	4	4
""	"Christian argues that Democrats must ""take back the faith"" and not allow"		
""	conservative Republicans to hijack the Bible.		
""			
6	SECRETS & MYSTERIES OF THE WORLD, by Sylvia Browne. (Hay House,	--	1
""	$19.95.) The self-proclaimed psychic tries to explain the inexplicable.		
""			
7	ANIMALS IN TRANSLATION, by Temple Grandin and Catherine Johnson.	6	4
""	(Scribner, $25.) How autism can help lead to an understanding of the brains,		
""	emotions and talents of animals.		
""			
8	DEAR SENATOR, by Essie Mae Washington-Williams and William Stadiem.	--	1
""	(ReganBooks/HarperCollins, $24.95.) A memoir by the mixed-race daughter of		
""	Strom Thurmond.		
""			
9	102 MINUTES, by Jim Dwyer and Kevin Flynn. (Times Books/Holt, $26.) Two	7	4
""	journalists at The New York Times describe people's struggle to survive inside the		
""	World Trade Center on Sept. 11.		
""			
10	WINNING THE FUTURE, by Newt Gingrich. (Regnery, $27.95.) The former	8	4
""	"speaker of the House proposes a 21st-century ""Contract With America."""		
""			
11	CHRONICLES: VOLUME ONE, by Bob Dylan. (Simon & Schuster, $24.)	9	18
""	Recollections and observations from the singer/songwriter.		
""			
12	EATS, SHOOTS & LEAVES, by Lynne Truss. (Gotham, $17.50.) An	11	44
""	Englishwoman expounds on the use and misuse of punctuation marks.		
""			
13	HIS EXCELLENCY, by Joseph J. Ellis. (Knopf, $26.95.) A biography of George	13	15
""	"Washington, by the author of ""Founding Brothers."""		
""			
14	FAVRE, by Brett Favre and Bonita Favre with Chris Havel. (N.F.L. Publishing/	12	11
""	RuggedLand, $29.95.) A profusely illustrated book about the Green Bay Packers'		
