This	February 5, 2006	Last	Week
Week	Fiction	Week	On Lis
""			
1	THE DA VINCI CODE, by Dan Brown. (Doubleday, $24.95.) A murder at the	1	148
""	Louvre leads to a trail of clues found in the work of Leonardo and to the discovery		
""	of a secret society.		
""			
2	THE HOSTAGE, by W. E. B. Griffin. (Putnam, $26.95.) An Army officer probes the	2	3
""	murder of an American diplomat and the kidnapping of his wife, whose brother is		
""	linked to the Iraq oil-for-food scandal.		
""			
3	MARY, MARY, by James Patterson. (Little, Brown, $27.95.) The F.B.I. agent Alex	5	10
""	Cross tracks a Hollywood killer who announces the crimes via e-mail.		
""			
4	DEATH DANCE, by Linda Fairstein. (Scribner, $26.) Alexandra Cooper, a	--	1
""	Manhattan assistant district attorney, investigates the disappearance of a ballerina.		
""			
5	EVERY BREATH YOU TAKE, by Judith McNaught. (Ballantine, $25.95.) When the	6	4
""	grandson of a Chicago philanthropist disappears, suspicion falls on the wrong man.		
""			
6	“S” IS FOR SILENCE, by Sue Grafton. (Marian Wood/Putnam, $26.95.) Kinsey	4	7
""	Millhone searches for a woman who disappeared 34 years ago.		
""			
7	THE CAT WHO DROPPED A BOMBSHELL, by Lilian Jackson Braun. (Putnam,	3	2
""	$23.95.) The columnist Jim Qwilleran and his cats investigate the mysterious death		
""	of a wealthy couple.		
""			
8	AT FIRST SIGHT, by Nicholas Sparks. (Warner, $24.95.) The young couple from	7	14
""	"""True Believer,"" who are now expecting a child, receive a disturbing message."		
""			
9	TURNING ANGEL, by Greg Iles. (Scribner, $25.95.) To defend a friend wrongly	8	4
""	accused of murder, a Mississippi lawyer must investigate the secret lives of local		
""	prep school students.		
""			
10	THE LAST TEMPLAR, by Raymond Khoury. (Dutton, $24.95.) A coding device	--	1
""	stolen from an exhibit of Vatican artifacts may hold clues to the medieval Knights		
""	Templar's long-lost treasure — and their secrets.		
""			
11	ON THE RUN, by Iris Johansen. (Bantam, $26.) A little girl and her mother, a gifted	10	4
""	horse trainer who once worked for the C.I.A., are targeted by a Middle Eastern		
""	magnate.		
""			
12	JUST REWARDS, by Barbara Taylor Bradford. (St. Martin's, $24.95.) Concluding	9	3
""	the story of the Harte family and its financial empire, told through four generations		
""	of women.		
""			
13	CHRIST THE LORD: OUT OF EGYPT, by Anne Rice. (Knopf, $25.95.) What	11	12
""	happened in Bethlehem; a story narrated by a 7-year-old who discovers that he is		
""	the Prince of Peace.		
This	February 5, 2006	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	FOR LACI, by Sharon Rocha. (Crown, $25.95.) Laci Peterson's mother recalls her	1	3
""	daughter and describes her killer's trial.		
""			
2	MARLEY & ME, by John Grogan. (Morrow, $21.95.) A newspaper columnist and	2	14
""	his wife learn some life lessons from their neurotic dog.		
""			
3	THE WORLD IS FLAT, by Thomas L. Friedman. (Farrar, Straus & Giroux, $27.50.)	4	42
""	A columnist for The New York Times analyzes 21st-century economics and foreign		
""	policy and presents an overview of globalization trends.		
""			
4	"MY FRIEND LEONARD, by James Frey. (Riverhead, $24.95.) The author of ""A"	3	16
""	"Million Little Pieces"" remembers a helpful mobster friend."		
""			
5	NIGHT, by Elie Wiesel. (Hill & Wang, $19.95.) A new translation of an account of	--	1
""	the horrors of Auschwitz and Buchenwald, first published in English in 1960.		
""			
6	THE YEAR OF MAGICAL THINKING, by Joan Didion. (Knopf, $23.95.) The	5	16
""	author's attempts to come to terms with the death of her husband and the grave		
""	illness of their only daughter.		
""			
7	FREAKONOMICS, by Steven D. Levitt and Stephen J. Dubner. (Morrow, $25.95.)	7	41
""	A maverick scholar applies economic thinking to everything from sumo wrestlers		
""	who cheat to legalized abortion and the falling crime rate.		
""			
8	"TEACHER MAN, by Frank McCourt. (Scribner, $26.) The author of ""Angela's"	6	10
""	"Ashes"" remembers his years teaching high school English in New York City."		
""			
9	A MILLION LITTLE PIECES, by James Frey. (Nan A. Talese/Doubleday, $22.95.)	--	3
""	Both author and publisher acknowledge that this memoir contains numerous		
""	fabrications.		
""			
10	TEAM OF RIVALS, by Doris Kearns Goodwin. (Simon & Schuster, $35.) The	9	13
""	political genius of Abraham Lincoln, revealed in his relationship with his cabinet,		
""	"from the author of ""No Ordinary Time."""		
""			
11	MONEY SECRETS, by Dave Barry. (Crown, $24.95.) The humorist looks at	--	1
""	personal finance.		
""			
12	OUR ENDANGERED VALUES, by Jimmy Carter. (Simon & Schuster, $25.) The	8	12
""	former president warns against blurring politics and fundamentalist religion.		
""			
13	STATE OF WAR, by James Risen. (Free Press, $26.) The secret history of the	10	3
""	C.I.A. and the Bush administration.		
""			
14	"BLINK, by Malcolm Gladwell. (Little, Brown, $25.95.) The author of ""The Tipping"	12	51
""	"Point"" explores the importance of hunch and instinct to the workings of the mind."		
