This	July 30, 2006	Last	Week
Week	Fiction	Week	On Li
""			
1	ANGELS FALL, by Nora Roberts. (Putnam, $25.95.) When a chef from Boston, now	--	1
""	living in Wyoming, witnesses a murder, the locals won't believe her.		
""			
2	TWELVE SHARP, by Janet Evanovich. (St. Martin's, $26.95.) The bounty hunter	1	4
""	Stephanie Plum must find a killer and rescue a kidnapped child.		
""			
3	COMING OUT, by Danielle Steel. (Delacorte, $20.) An attorney's household is thrown	2	3
""	into chaos when her daughters receive an invitation to a debutante ball.		
""			
4	CAN'T WAIT TO GET TO HEAVEN, by Fannie Flagg. (Random House, $29.95.) A	3	2
""	"return to Elmwood Springs, Mo., the setting of Flagg's novel ""Standing in the Rainbow."""		
""			
5	BREAK NO BONES, by Kathy Reichs. (Scribner, $25.95.) The forensic anthropologist	--	1
""	Temperance Brennan finds a fresh skeleton at an Indian burial ground in South		
""	Carolina.		
""			
6	BEACH ROAD, by James Patterson and Peter de Jonge. (Little, Brown, $27.95.) An	5	11
""	East Hampton lawyer becomes involved in a highly publicized trial that pits locals		
""	against the super-rich.		
""			
7	DANSE MACABRE, by Laurell K. Hamilton. (Berkley, $25.95.) Complications arise	4	3
""	when the vampire hunter Anita Blake discovers that she may be pregnant.		
""			
8	THE HUSBAND, by Dean Koontz. (Bantam, $27.) A man whose wife is kidnapped has	6	7
""	60 hours to come up with a huge ransom.		
""			
9	THE BOOK OF THE DEAD, by Douglas Preston and Lincoln Child. (Warner, $25.95.)	8	7
""	The final volume of a trilogy involving Secret Agent Aloysius Pendergast of the F.B.I.		
""	and his criminal brother.		
""			
10	BLACK ORDER, by James Rollins. (Morrow, $24.95.) Sigma Force, a special military	7	3
""	unit, investigates worldwide mysteries that all originate with a secret Nazi experiment		
""	smuggled out of wartime Berlin.		
""			
11	WATER FOR ELEPHANTS, by Sara Gruen (Algonquin, $24.95.) A young man — and	11	4
""	an elephant — save a Depression-era circus.		
""			
12	COVER OF NIGHT, by Linda Howard. (Ballantine, $27.) A young widow fights back	12	3
""	when armed intruders storm her bed-and-breakfast in rural Idaho.		
""			
13	AT RISK, by Patricia Cornwell. (Putnam, $21.95.) A Massachusetts state investigator	9	8
""	applies DNA and other forensic techniques to a cold murder case; written as a serial		
""	for The New York Times Magazine.		
""			
14	SANDCASTLES, by Luanne Rice. (Bantam, $24.) An artist who has been jailed in	15	3
""	Ireland returns to his Connecticut home to find a conflicted wife and troubled		
""	daughters.		
This	July 30, 2006	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	MARLEY & ME, by John Grogan. (Morrow, $21.95.) A newspaper columnist and	1	39
""	his wife learn some life lessons from their neurotic dog.		
""			
2	CONSERVATIVES WITHOUT CONSCIENCE, by John W. Dean. (Viking, $25.95.)	--	1
""	The authoritarian character of contemporary conservative beliefs and attitudes.		
""			
3	THE ONE PERCENT DOCTRINE, by Ron Suskind. (Simon & Schuster, $27.) An	3	4
""	investigation of the Bush administration's strategic thinking and of the role of		
""	ideology and personality in the decision to go to war.		
""			
4	THE WORLD IS FLAT, by Thomas L. Friedman. (Farrar, Straus & Giroux, $27.50;	5	67
""	updated and expanded edition, $30.) A columnist for The New York Times		
""	analyzes 21st-century economics and foreign policy.		
""			
5	GODLESS, by Ann Coulter. (Crown Forum, $27.95.) The columnist argues that	4	6
""	liberalism is a religion with sacraments, a creation myth and a clergy.		
""			
6	FREAKONOMICS, by Steven D. Levitt and Stephen J. Dubner. (Morrow, $25.95.)	2	66
""	A maverick scholar applies economic thinking to everything from sumo wrestlers		
""	who cheat to legalized abortion and the falling crime rate.		
""			
7	MAYFLOWER, by Nathaniel Philbrick. (Viking, $29.95.) How America began, from	6	10
""	"the author of ""In the Heart of the Sea."""		
""			
8	FEEDING THE MONSTER, by Seth Mnookin. (Simon & Schuster, $26.) How the	--	1
""	Red Sox finally did it.		
""			
9	MYTHS, LIES, AND DOWNRIGHT STUPIDITY, by John Stossel. (Hyperion,	9	10
""	"$24.95.) The ""20/20"" anchor questions conventional wisdom."		
""			
10	DISPATCHES FROM THE EDGE, by Anderson Cooper. (HarperCollins, $24.95.)	8	8
""	The CNN correspondent describes a year of covering the tsunami in Sri Lanka, the		
""	war in Iraq and Hurricane Katrina.		
""			
11	WISDOM OF OUR FATHERS, by Tim Russert. (Random House, $22.95.) The	7	8
""	"host of ""Meet the Press'' presents readers' letters about their fathers in responseto"		
""	"his book ""Big Russ and Me.''"		
""			
12	HEAT, by Bill Buford (Knopf, $25.95.) An editor changes his life by apprenticing in	10	5
""	a restaurant kitchen.		
""			
13	THE LONG TAIL, by Chris Anderson. (Hyperion, $24.95.) How the Internet has	--	1
""	"changed business so that its future requires ""selling less of more."""		
""			
14	"BLINK, by Malcolm Gladwell. (Little, Brown, $25.95.) The author of ""The Tipping"	11	73
""	"Point"" explores the importance of hunch and instinct to the workings of the mind."		
