his	November 19, 2006	Last	Wee
eek	Fiction	Week	On Li
""			
1	DEAR JOHN, by Nicholas Sparks. (Warner, $24.99.) An unlikely romance between a	--	1
""	soldier and an idealistic young woman is tested in the aftermath of 9/11.		
""			
2	FOR ONE MORE DAY, by Mitch Albom. (Hyperion, $21.95.) A troubled man gets a last	2	6
""	chance to reconnect and restore his relationship with his dead mother.		
""			
3	LISEY'S STORY, by Stephen King. (Scribner, $28.) A widow's journey through grief after	1	2
""	the death of her husband, a famous novelist with terrible memories.		
""			
4	H.R.H., by Danielle Steel. (Delacorte, $27.) An American-educated European princess	--	1
""	faces unexpected challenges when she works at an African Red Cross camp.		
""			
5	THE COLLECTORS, by David Baldacci. (Warner, $26.99.) The members of the Camel	3	3
""	Club reunite to solve a murder at the Library of Congress.		
""			
6	ACT OF TREASON, by Vince Flynn. (Atria, $25.95.) The C.I.A. operative Mitch Rapp	4	4
""	makes surprising discoveries when he investigates an attack on a Democratic presidential		
""	candidate's motorcade.		
""			
7	THIRTEEN MOONS, by Charles Frazier. (Random House, $26.95.) A man raised in the	7	5
""	North Carolina wilderness travels America in defense of his adopted Indian people and		
""	broods over an elusive woman.		
""			
8	ECHO PARK, by Michael Connelly. (Little, Brown, $26.99.) The Los Angeles detective	5	4
""	Harry Bosch returns to an old unsolved case with unexpected results.		
""			
9	FIRST IMPRESSIONS, by Nora Roberts. (Silhouette, $17.95.) Seeking peace, a wealthy	10	2
""	businessman retreats to a small town, but his lovely and charitable neighbor won't stay		
""	away; reprint of a 1984 novel.		
""			
10	HUNDRED-DOLLAR BABY, by Robert B. Parker. (Putnam, $24.95.) The madam of an	6	2
""	upscale brothel needs help from the Boston private eye Spenser, who helped her years		
""	ago as a runaway teenager.		
""			
11	THE BANCROFT STRATEGY, by Robert Ludlum. (St.Martin's, $26.95.) A former	9	3
""	intelligence agent tries to rescue a kidnapped colleague, while a banker discovers that her		
""	family's foundation is involved in shady politics.		
""			
12	HOME TO BIG STONE GAP, by Adriana Trigiani. (Random House, $25.95.) Complications	--	1
""	with family, friends and politics in a small town in the Blue Ridge Mountains.		
""			
13	WHAT CAME BEFORE HE SHOT HER, by Elizabeth George. (HarperCollins, $26.95.)	8	3
""	The back story of the murder of Inspector Thomas Lynley's wife focuses on an abandoned		
""	mixed-race family in North London.		
""			
14	THE THIRTEENTH TALE, by Diane Setterfield. (Atria, $26.) A biographer struggles to	12	8
""	discover the truth about an aging writer who has mythologized her past.		
This	November 19, 2006	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	THE AUDACITY OF HOPE, by Barack Obama. (Crown, $25.) The Illinois junior	1	3
""	senator proposes that Americans move beyond their political divisions.		
""			
2	THE INNOCENT MAN, by John Grisham. (Doubleday, $28.95.) Grisham's first	2	4
""	nonfiction book concerns a man sentenced to death for a crime he did not commit.		
""			
3	"CULTURE WARRIOR, by Bill O'Reilly. (Broadway, $26.) The host of ""The O'Reilly"	3	6
""	"Factor"" describes a culture war between traditionalists and secular-progressives."		
""			
4	"STATE OF DENIAL, by Bob Woodward. (Simon & Schuster, $30.) The third ""Bush"	4	6
""	"at War"" volume by the longtime Washington Post reporter and editor describes a"		
""	dysfunctional administration's inept conduct of the invasion and occupation of Iraq.		
""			
5	MARLEY & ME, by John Grogan. (Morrow, $21.95.) A newspaper columnist and	7	55
""	his wife learn some life lessons from their neurotic dog.		
""			
6	A HAND TO GUIDE ME, by Denzel Washington with Daniel Paisner. (Meredith,	--	1
""	$24.95.) Seventy-four stories by celebrities and leaders about people who inspired		
""	them, introduced by the Academy Award winning actor.		
""			
7	I FEEL BAD ABOUT MY NECK, by Nora Ephron. (Knopf, $19.95.) A witty look at	5	14
""	"aging from a novelist and screenwriter (""When Harry Met Sally"")."		
""			
8	THE GOD DELUSION, by Richard Dawkins. Houghton Mifflin, $27.) An Oxford	6	7
""	scientist asserts that belief in God is irrational and that religion has done great		
""	harm in the world.		
""			
9	THE MR. AND MRS. HAPPY HANDBOOK, by Steve Doocy. (Morrow, $23.95.)	10	3
""	Humorous observations on marriage and family life.		
""			
10	THUNDERSTRUCK, by Erik Larson. (Crown, $25.95.) Intertwined stories of early-	8	2
""	20th-century murder and scientific intrigue intersect in a sea chase on the North		
""	"Atlantic; from the author of ""The Devil in the White City."""		
""			
11	THE LIFE AND TIMES OF THE THUNDERBOLT KID, by Bill Bryson. (Broadway,	9	3
""	"$25.) A memoir of growing up in mid-America at midcentury by the author of ""A"		
""	"Short History of Nearly Everything."""		
""			
12	I LIKE YOU, by Amy Sedaris. (Warner, $27.99.) The actress's wacky approach to	11	3
""	entertaining.		
""			
13	THE WORLD IS FLAT, by Thomas L. Friedman. (Farrar, Straus & Giroux, $27.50;	12	83
""	updated and expanded edition, $30.) A columnist for The Times analyzes 21st-		
""	century economics and foreign policy.		
""			
14	LETTER TO A CHRISTIAN NATION, by Sam Harris. (Knopf, $16.95.) The author	14	6
""	of ''The End of Faith'' responds to Christians' arguments in defense of their beliefs.		
