This	September 27, 2009	Last	Weeks
Week	Fiction	Week	On List
""			
1	THE LAST SONG, by Nicholas Sparks. (Grand Central, $24.99.) A 17-year-old girl	--	1
""	spends the summer with her divorced father in North Carolina and finds many		
""	kinds of love.		
""			
2	SOUTH OF BROAD, by Pat Conroy. (Nan A. Talese/Doubleday, $29.95.) An	3	5
""	"unlikely group’s friendship from the ’60s to the ’80s, by the author of ""The Prince of"		
""	"Tides."""		
""			
3	THE HELP, by Kathryn Stockett. (Amy Einhorn/Putnam, $24.95.) A young white	5	24
""	woman and two black maids in 1960s Mississippi.		
""			
4	ALEX CROSS’S TRIAL, by James Patterson and Richard DiLallo. (Little, Brown,	2	3
""	$27.99.) The detective Alex Cross writes a novel about his great-uncle, who fought		
""	the Klan.		
""			
5	SPARTAN GOLD, by Clive Cussler with Grant Blackwood. (Putnam, $26.96.)	4	2
""	Husband-and-wife treasure hunters search for bottles of wine from Napoleon’s		
""	“lost cellar.”		
""			
6	DARK SLAYER, by Christine Feehan. (Berkley, $25.95.) A slayer who travels with	1	2
""	a wolf pack frees a Dragonseeker from prison and falls in love with him; a		
""	Carpathian novel.		
""			
7	THE WHITE QUEEN, by Philippa Gregory. (Touchstone/Simon & Schuster,	6	4
""	"$25.99.) Palace intrigue during the War of the Roses, by the author of ""The Other"		
""	"Boleyn Girl."""		
""			
8	DEXTER BY DESIGN, by Jeff Lindsay. (Doubleday, $25.) A serial killer who	--	1
""	arranges victims in artful poses challenges the Miami Police Department and its		
""	blood splatter analyst, Dexter.		
""			
9	THE GIRL WHO PLAYED WITH FIRE, by Stieg Larsson. (Knopf, $25.95.) A	9	7
""	Swedish hacker becomes a murder suspect.		
""			
10	DEAD AND GONE, by Charlaine Harris. (Ace, $25.95.) Sookie Stackhouse	12	19
""	searches for the killer of a werepanther.		
""			
11	A GATE AT THE STAIRS, by Lorrie Moore. (Knopf, $25.95.) A Midwestern college	10	2
""	student takes a job as a nanny with a couple on the eve of adoption, from the		
""	"author of ""Birds of America."""		
""			
12	206 BONES, by Kathy Reichs. (Scribner, $26.99.) Temperance Brennan is	8	3
""	accused of mishandling an autopsy.		
""			
13	HOMER & LANGLEY, by E. L. Doctorow. (Random House, $26.) The lives of the	7	2
""	reclusive Collyer brothers, by the author of “Ragtime.”		
This	September 27, 2009	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	OFFICIAL BOOK CLUB SELECTION, by Kathy Griffin. (Ballantine, $25.) A	--	1
""	humorous memoir from the star of “My Life on the D-List.”		
""			
2	CULTURE OF CORRUPTION, by Michelle Malkin. (Regnery, $27.95.) President	1	7
""	Obama and his team of tax cheats, petty crooks, influence peddlers and Wall		
""	Street cronies.		
""			
3	OUTLIERS, by Malcolm Gladwell. (Little, Brown, $27.99.) Why some people	2	43
""	succeed, from the author of “Blink.”		
""			
4	IN THE PRESIDENT’S SECRET SERVICE, by Ronald Kessler. (Crown, $26.)	3	6
""	Agents and the presidents they protect.		
""			
5	LIBERTY AND TYRANNY, by Mark R. Levin. (Threshold Editions, $25.) A	7	25
""	conservative manifesto from a talk-show host and president of Landmark Legal		
""	Foundation.		
""			
6	STRENGTH IN WHAT REMAINS, by Tracy Kidder. (Random House,, $26.) A	4	3
""	medical student survives civil war and genocide in Burundi, and flourishes in the		
""	United States.		
""			
7	BORN TO RUN, by Christopher McDougall. (Knopf, $24.95.) Secrets of distance	5	13
""	running from a Mexican Indian tribe.		
""			
8	A BOLD FRESH PIECE OF HUMANITY, by Bill O’Reilly. (Broadway, $26.) The	6	46
""	Fox News commentator on his upbringing and career.		
""			
9	HALF THE SKY, by Nicholas D. Kristof and Sheryl WuDunn. (Knopf, $27.95.)	--	1
""	Women fighting sexual oppression in Asia and Africa.		
""			
10	TRAVELING WITH POMEGRANATES, by Sue Monk Kidd and Ann Kidd Taylor.	--	1
""	(Viking, $25.95.) The novelist (“Secret Life of Bees”) and her daughter travel		
""	together in Europe at a difficult time in both their lives.		
""			
11	THE HEALING OF AMERICA, by T. R. Reid. (Penguin Press, $25.95.) How other	9	3
""	industrialized democracies provide health care for all at a reasonable cost.		
""			
12	NURTURESHOCK, by Po Bronson and Ashley Merryman. (Twelve, $24.99.) A	10	2
""	report on recent research that challenges the conventional wisdom about child-		
""	rearing.		
""			
13	SHOOTING STARS, by LeBron James and Buzz Bissinger. (Penguin Press,	--	1
""	$26.95.) James and his friends as young basketball players; the co-author wrote		
""	“Friday Night Lights.”		
""			
14	YOU WERE ALWAYS MOM’S FAVORITE, by Deborah Tannen. (Random House,	--	1
""	$26.) Relationships between sisters.		
