This	July 31, 2011	Last	Wee
eek	Fiction	Week	On Li
""			
1	A DANCE WITH DRAGONS, by George R. R. Martin. (Bantam, $35.) After a colossal	--	1
""	"battle, the Seven Kingdoms face new threats; Book 5 of ""A Song of Ice and Fire."""		
""			
2	NOW YOU SEE HER, by James Patterson and Michael Ledwidge. (Little, Brown,	1	3
""	$27.99.) Nina Bloom is forced to confront the past and the killer she thought she had		
""	escaped.		
""			
3	THEN CAME YOU, by Jennifer Weiner. (Atria, $26.99.) This timely tale delves into	--	1
""	women’s lives, with themes of class and entitlement, surrogacy and donorship.		
""			
4	SMOKIN' SEVENTEEN, by Janet Evanovich. (Bantam, $28.) A killer is after the bounty	2	4
""	hunter Stephanie Plum, who faces further complications as she tries to choose a		
""	boyfriend.		
""			
5	QUINN, by Iris Johansen. (St. Martin's, $27.99.) A former Navy Seals member turned	--	1
""	cop falls in love with a woman in need of his help and finds himself in the cross hairs of		
""	danger.		
""			
6	STATE OF WONDER, by Ann Patchett. (Harper/HarperCollins, $26.99.) In the Amazon	5	6
""	basin, a medical researcher seeks her former mentor, a despotic scientist who is		
""	developing a miracle fertility drug.		
""			
7	BEFORE I GO TO SLEEP, by S. J. Watson. (Harper/HarperCollins, $25.99.) A woman’s	--	1
""	life is complicated by the fact that her memories disappear every time she falls asleep.		
""			
8	AGAINST ALL ENEMIES, by Tom Clancy with Peter Telep. (Putnam, $28.95.) Maxwell	4	5
""	Moore pursues the terrorists who killed his C.I.A. colleagues in a bomb attack in		
""	Pakistan.		
""			
9	ONE SUMMER, by David Baldacci. (Grand Central, $25.99.) After the death of his	6	5
""	devoted wife, a father struggles to keep his family together, and in the process learns to		
""	love again.		
""			
10	IRON HOUSE, by John Hart. (Thomas Dunne/St. Martin's, $25.99.) A professional killer	--	1
""	trying to leave the business must protect himself and his long lost brother.		
""			
11	THE SILENT GIRL, by Tess Gerritsen. (Ballantine, $26.) The homicide cop Jane Rizzoli	3	2
""	and the medical examiner Maura Isles find a corpse and a severed hand in Boston’s		
""	Chinatown.		
""			
12	MAINE, by J. Courtney Sullivan. (Knopf, $25.95.) Three generations of a family’s women	7	4
""	take guilt, secrets and old wounds on a beach retreat.		
""			
13	THE GIRL WHO KICKED THE HORNET’S NEST, by Stieg Larsson. (Knopf, $27.95.)	8	60
""	The third volume of the Millennium trilogy, about a Swedish hacker and a journalist.		
""			
14	THE PARIS WIFE, by Paula McLain. (Ballantine, $25.) Ernest Hemingway’s first wife	13	17
This	July 31, 2011	Last	Week
Week	Non-Fiction	Week	On Li
""			
1	A STOLEN LIFE, by Jaycee Dugard. (Simon & Schuster, $24.99.) A woman’s	--	1
""	recollection of being kidnapped at the age of 11, spending 18 years imprisoned by a		
""	convicted rapist and his wife and bearing two daughters by him.		
""			
2	UNBROKEN, by Laura Hillenbrand. (Random House, $27.) An Olympic runner's story	1	35
""	of survival as a prisoner of the Japanese in World War II.		
""			
3	IN THE GARDEN OF BEASTS, by Erik Larson. (Crown, $26.) This portrait of Berlin	2	10
""	during the rise of the Nazi Party concentrates on William E. Dodd, who became the		
""	U.S. ambassador to Germany in 1933, and his daughter, Martha.		
""			
4	BOSSYPANTS, by Tina Fey. (Reagan Arthur/Little, Brown, $26.99.) A memoir from the	4	15
""	"creator of ""30 Rock."""		
""			
5	OF THEE I ZING, by Laura Ingraham with Raymond Arroyo. (Threshold Editions, $25.)	--	1
""	The talk radio host satirizes America’s cultural decline, from muffin tops to body shots.		
""			
6	THE GREATER JOURNEY, by David McCullough. (Simon & Schuster, $37.5.) The	3	8
""	historian explores the intellectual legacy that France settled on its 19th-century visitors.		
""			
7	SEAL TEAM SIX, by Howard E. Wasdin and Stephen Templin. (St. Martin's, $26.99.)	5	10
""	An expert sniper and former member of the Navy Seals recounts his training and		
""	missions.		
""			
8	RECKLESS ENDANGERMENT, by Gretchen Morgenson and Joshua Rosner. (Times	7	7
""	Books/Holt, $30.) This account of 2008’s financial crisis highlights responsible		
""	individuals.		
""			
9	LIES THAT CHELSEA HANDLER TOLD ME, by Chelsea Handler, Glen Handler, Roy	8	10
""	Handler and others. (Grand Central, $24.99.) Handler's friends, family members and		
""	colleagues write about being victims of her practical jokes.		
""			
10	THROUGH MY EYES, by Tim Tebow with Nathan Whitaker. (HarperCollins, $26.99.)	10	7
""	The Broncos quarterback discusses his life, faith and career in football.		
""			
11	DEMONIC, by Ann Coulter. (Crown Forum, $28.99.) The columnist compares the	9	6
""	Democratic Party to a mob.		
""			
12	SEX ON THE MOON, by Ben Mezrich. (Doubleday, $26.95.) The story of Thad	--	1
""	Roberts, a NASA intern who stole a 600-pound safe containing priceless moon rock		
""	samples.		
""			
13	LOST IN SHANGRI-LA, by Mitchell Zuckoff. (Harper/HarperCollins, $26.99.) How three	11	4
""	World War II sightseers survived a crash in remote New Guinea.		
""			
14	ABSOLUTE MONARCHS, by John Julius Norwich. (Random House, $30.) A chronicle	--	1
""	of one of the most significant — and — controversial institutions in history: the papacy.		
