This	August 14, 2011	Last	Week
eek	Fiction	Week	On Li
""			
1	GHOST STORY, by Jim Butcher. (Roc, $27.95.) Harry Dresden, the wizard detective in	--	1
""	Chicago, has been murdered. But that doesn’t stop him when his friends are in danger.		
""			
2	A DANCE WITH DRAGONS, by George R. R. Martin. (Bantam, $35.) After a colossal	1	3
""	"battle, the Seven Kingdoms face new threats; Book 5 of ""A Song of Ice and Fire."""		
""			
3	FULL BLACK, by Brad Thor. (Atria, $26.99.) The covert counterterrorism operative Scot	--	1
""	Harvath has a plan to stop a terrorist group that wants to take down the United States.		
""			
4	PORTRAIT OF A SPY, by Daniel Silva. (Harper/HarperCollins, $26.99.) To stop a	2	2
""	network of death, an international operative must reach into his violent past.		
""			
5	HAPPY BIRTHDAY, by Danielle Steel. (Delacorte, $28.) A woman, her daughter and a	3	2
""	former football player arrive at their own crucial turning points on the same day.		
""			
6	NOW YOU SEE HER, by James Patterson and Michael Ledwidge. (Little, Brown,	5	5
""	$27.99.) Nina Bloom is forced to confront the past and the killer she thought she had		
""	escaped.		
""			
7	SMOKIN' SEVENTEEN, by Janet Evanovich. (Bantam, $28.) A killer is after the bounty	6	6
""	hunter Stephanie Plum.		
""			
8	STATE OF WONDER, by Ann Patchett. (Harper/HarperCollins, $26.99.) In the Amazon	8	8
""	basin, a medical researcher seeks her former mentor, a despotic scientist who is		
""	developing a miracle fertility drug.		
""			
9	SPLIT SECOND, by Catherine Coulter. (Putnam, $26.95.) A serial killer is on the loose,	4	2
""	and it's up to the F.B.I. agents Dillon Savich and Lacey Sherlock to bring him down.		
""			
10	THEN CAME YOU, by Jennifer Weiner. (Atria, $26.99.) This timely tale delves into	7	3
""	women's lives, with themes of class and entitlement, surrogacy and donorship.		
""			
11	THE GIRL WHO KICKED THE HORNET’S NEST, by Stieg Larsson. (Knopf, $27.95.)	13	62
""	The third volume of the Millennium trilogy, about a Swedish hacker and a journalist.		
""			
12	THE BOURNE DOMINION, by Eric Van Lustbader. (Grand Central, $27.99.) Robert	9	2
""	Ludlum's character Jason Bourne is searching for an elusive cadre of terrorists planning		
""	to destroy America's most strategic natural resources.		
""			
13	THE PARIS WIFE, by Paula McLain. (Ballantine, $25.) Ernest Hemingway's first wife	15	19
""	narrates this novel set in Paris.		
""			
14	AGAINST ALL ENEMIES, by Tom Clancy with Peter Telep. (Putnam, $28.95.) Maxwell	10	7
""	Moore pursues the terrorists who killed his C.I.A. colleagues in a bomb attack in		
""	Pakistan.		
""			
15	ONE SUMMER, by David Baldacci. (Grand Central, $25.99.) After the death of his	11	7
This	August 14, 2011	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	A STOLEN LIFE, by Jaycee Dugard. (Simon & Schuster, $24.99.) A woman’s	1	3
""	recollection of being kidnapped at the age of 11, spending 18 years imprisoned by		
""	a convicted rapist and his wife and bearing two daughters by him.		
""			
2	UNBROKEN, by Laura Hillenbrand. (Random House, $27.) An Olympic runner's	2	37
""	story of survival as a prisoner of the Japanese in World War II.		
""			
3	IN THE GARDEN OF BEASTS, by Erik Larson. (Crown, $26.) This portrait of	3	12
""	Berlin during the rise of the Nazi Party concentrates on William E. Dodd, who		
""	became the U.S. ambassador to Germany in 1933, and his daughter, Martha.		
""			
4	BOSSYPANTS, by Tina Fey. (Reagan Arthur/Little, Brown, $26.99.) A memoir	4	17
""	"from the creator of ""30 Rock."""		
""			
5	THE GREATER JOURNEY, by David McCullough. (Simon & Schuster, $37.5.)	5	10
""	The historian explores the intellectual legacy that France settled on its 19th-		
""	century visitors.		
""			
6	SEAL TEAM SIX, by Howard E. Wasdin and Stephen Templin. (St. Martin's,	7	12
""	$26.99.) An expert sniper and former member of the Navy Seals recounts his		
""	training and missions.		
""			
7	LIES THAT CHELSEA HANDLER TOLD ME, by Chelsea Handler, Glen Handler,	8	12
""	Roy Handler and others. (Grand Central, $24.99.) Handler's friends, family		
""	members and colleagues write about being victims of her practical jokes.		
""			
8	OF THEE I ZING, by Laura Ingraham with Raymond Arroyo. (Threshold Editions,	6	3
""	$25.) The talk radio host satirizes America’s cultural decline, from muffin tops to		
""	body shots.		
""			
9	THROUGH MY EYES, by Tim Tebow with Nathan Whitaker. (HarperCollins,	10	9
""	$26.99.) The Broncos quarterback chronicles his personal and professional		
""	course, from his career at the University of Florida to his rookie season in Denver.		
""			
10	INCOGNITO, by David Eagleman. (Pantheon, $26.95.) A neuroscientist probes	12	3
""	the depths of the subconscious brain to illuminate surprising mysteries.		
""			
11	RECKLESS ENDANGERMENT, by Gretchen Morgenson and Joshua Rosner.	9	9
""	(Times Books/Holt, $30.) This account of the Wall Street implosion highlights		
""	individuals who played crucial roles of responsibility.		
""			
12	THOSE GUYS HAVE ALL THE FUN, by James Andrew Miller and Tom Shales.	15	9
""	(Little, Brown, $27.99.) An oral history of the sports network ESPN.		
""			
13	ABSOLUTE MONARCHS, by John Julius Norwich. (Random House, $30.) A	--	2
""	chronicle of one of the most significant — and — controversial institutions in		
""	history: the papacy.		
