his	January 13, 2013	Last	Wee
eek	Fiction	Week	On Li
""			
1	GONE GIRL, by Gillian Flynn. (Crown, $25.) A woman disappears on her fifth	2	30
""	anniversary; is her husband a killer?		
""			
2	THE RACKETEER, by John Grisham. (Doubleday, $28.95.) An imprisoned ex-lawyer	1	10
""	schemes to exchange information about a murdered federal judge for his freedom.		
""			
3	MERRY CHRISTMAS, ALEX CROSS, by James Patterson. (Little, Brown, $28.99.)	4	7
""	Detective Alex Cross confronts both a hostage situation and a terrorist act at Christmas.		
""			
4	THE CASUAL VACANCY, by J. K. Rowling. (Little, Brown, $35.) The sudden death of a	5	14
""	parish councilman reveals bitter social divisions in an idyllic English town.		
""			
5	THREAT VECTOR, by Tom Clancy with Mark Greaney. (Putnam, $28.95.) As China	3	4
""	threatens to invade Taiwan, the covert intelligence expert Jack Ryan Jr. aids his father’s		
""	administration — but his agency is no longer secret.		
""			
6	CROSS ROADS, by Wm. Paul Young. (FaithWords, $24.99.) A comatose businessman	8	7
""	encounters Jesus, the Holy Spirit and God; from the author of “The Shack.”		
""			
7	THE FORGOTTEN, by David Baldacci. (Grand Central, $27.99.) The military	7	6
""	investigator John Puller, the protagonist of “Zero Day,” probes his aunt’s mysterious		
""	death in Florida.		
""			
8	NOTORIOUS NINETEEN, by Janet Evanovich. (Bantam, $28.) The New Jersey bounty	6	6
""	hunter Stephanie Plum tracks down a con man who disappeared from a hospital.		
""			
9	THE TWELVE TRIBES OF HATTIE, by Ayana Mathis. (Knopf, $24.95.) Fifty-some	10	3
""	years in the life of an African-American family, starting with Hattie Shepherd, who		
""	leaves Georgia for Philadelphia in 1923.		
""			
10	THE BLACK BOX, by Michael Connelly. (Little, Brown, $27.99.) The Los Angeles	13	5
""	detective Harry Bosch links a recent crime to the killing of a photographer amid the		
""	1992 race riots.		
""			
11	THE LAST MAN, by Vince Flynn. (Emily Bestler/Atria, $27.99.) The counterterrorism	12	7
""	operative Mitch Rapp searches for a missing C.I.A. asset amid treachery in Afghanistan.		
""			
12	THE TIME KEEPER, by Mitch Albom. (Hyperion, $24.99.) A fable about the inventor of	9	15
""	the world’s first clock.		
""			
13	FLIGHT BEHAVIOR, by Barbara Kingsolver. (Harper/HarperCollins, $28.99.) A	11	8
""	woman’s life expands as a visitation of butterflies brings scientific truths to rural		
""	Tennessee.		
""			
14	WINTER OF THE WORLD, by Ken Follett. (Dutton, $36.) Members of five interrelated	--	13
""	families from five countries grapple with the historical events of the years 1939-49.		
This	January 13, 2013	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	KILLING KENNEDY, by Bill O'Reilly and Martin Dugard. (Holt, $28.) The host of	1	13
""	“The O’Reilly Factor” recounts the events surrounding the assassination of John F.		
""	Kennedy.		
""			
2	THOMAS JEFFERSON, by Jon Meacham. (Random House, $35.) The Pulitzer	2	7
""	Prize-winning journalist celebrates Jefferson’s skills as a practical politician.		
""			
3	KILLING LINCOLN, by Bill O'Reilly and Martin Dugard. (Holt, $28.) The host of	3	66
""	"""The O'Reilly Factor"" recounts the events surrounding the assassination of"		
""	Abraham Lincoln.		
""			
4	NO EASY DAY, by Mark Owen with Kevin Maurer. (Dutton, $26.95.) An account	4	17
""	by a former member of the Navy SEALs, written pseudonymously, of the mission		
""	that killed bin Laden.		
""			
5	AMERICA AGAIN, by Stephen Colbert, Richard Dahm, Paul Dinello, Barry Julien,	5	13
""	Tom Purcell et al.. (Grand Central, $28.99.) The mock pundit of Comedy Central’s		
""	“Colbert Report” tells how to bring America back from the brink.		
""			
6	UNBROKEN, by Laura Hillenbrand. (Random House, $27.) An Olympic runner's	6	111
""	story of survival as a prisoner of the Japanese in World War II.		
""			
7	THE SIGNAL AND THE NOISE, by Nate Silver. (Penguin Press, $27.95.) An	7	13
""	examination of predictions, the ones that come true and the ones that don’t.		
""			
8	BRUCE, by Peter A. Carlin. (Touchstone, $28.) A biography of Bruce Springsteen	9	9
""	traces his climb from a working- class childhood to success and fame.		
""			
9	ROLL ME UP AND SMOKE ME WHEN I DIE, by Willie Nelson.	8	7
""	(Morrow/HarperCollins, $22.99.) The musician muses on family, friends, Texas		
""	and life on the road.		
""			
10	BEHIND THE BEAUTIFUL FOREVERS, by Katherine Boo. (Random House, $27.)	11	12
""	A journalist reports on families striving for better lives in a Mumbai slum.		
""			
11	WILD, by Cheryl Strayed. (Knopf, $25.95.) A woman's account of a life-changing	--	30
""	1,100-mile hike along the Pacific Crest Trail.		
""			
12	A HIGHER CALL, by Adam Makos with Larry Alexander. (Berkley Caliber,	--	1
""	$26.95.) An encounter between two pilots, an American and a German, in the		
""	skies over Germany in December 1943.		
""			
13	WAGING HEAVY PEACE, by Neil Young. (Blue Rider, $30.) The rocker’s memoir	10	13
""	ranges over his personal life and his music, including his days with Buffalo		
""	Springfield and Crosby, Stills, Nash & Young.		
""			
14	THE LAST LION, by William Manchester and Paul Reid. (Little, Brown, $40.) This	13	9
