This	January 20, 2013	Last	Wee
eek	Fiction	Week	On Li
""			
1	GONE GIRL, by Gillian Flynn. (Crown, $25.) A woman disappears on her fifth	1	31
""	anniversary; is her husband a killer?		
""			
2	EMPIRE AND HONOR, by W. E. B. Griffin and William E. Butterworth IV. (Putnam,	--	1
""	$27.95.) An O.S.S. agent’s plan to help his German intelligence counterparts reach		
""	Argentina encounters trouble; Book 7 of the Honor Bound series.		
""			
3	THE RACKETEER, by John Grisham. (Doubleday, $28.95.) An imprisoned ex-lawyer	2	11
""	schemes to exchange information about a murdered federal judge for his freedom.		
""			
4	THE FORGOTTEN, by David Baldacci. (Grand Central, $27.99.) The military	7	7
""	investigator John Puller, the protagonist of “Zero Day,” probes his aunt’s mysterious		
""	death in Florida.		
""			
5	THREAT VECTOR, by Tom Clancy with Mark Greaney. (Putnam, $28.95.) As China	5	5
""	threatens to invade Taiwan, the covert intelligence expert Jack Ryan Jr. aids his father’s		
""	administration — but his agency is no longer secret.		
""			
6	THE TWELVE TRIBES OF HATTIE, by Ayana Mathis. (Knopf, $24.95.) Fifty-some	9	4
""	years in the life of an African-American family, starting with Hattie Shepherd, who		
""	leaves Georgia for Philadelphia in 1923.		
""			
7	CROSS ROADS, by Wm. Paul Young. (FaithWords, $24.99.) A comatose businessman	6	8
""	encounters Jesus, the Holy Spirit and God; from the author of “The Shack.”		
""			
8	SHADOW WOMAN, by Linda Howard. (Ballantine, $27.) A woman’s inexplicable	--	1
""	strange memories and altered appearance result from a far-reaching conspiracy.		
""			
9	NOTORIOUS NINETEEN, by Janet Evanovich. (Bantam, $28.) The New Jersey bounty	8	7
""	hunter Stephanie Plum tracks down a con man who disappeared from a hospital.		
""			
10	THE CASUAL VACANCY, by J. K. Rowling. (Little, Brown, $35.) The sudden death of a	4	15
""	parish councilman reveals bitter social divisions in an idyllic English town.		
""			
11	THE BLACK BOX, by Michael Connelly. (Little, Brown, $27.99.) The Los Angeles	10	6
""	detective Harry Bosch links a recent crime to the killing of a photographer amid the		
""	1992 race riots.		
""			
12	MERRY CHRISTMAS, ALEX CROSS, by James Patterson. (Little, Brown, $28.99.)	3	8
""	Detective Alex Cross confronts both a hostage situation and a terrorist act at Christmas.		
""			
13	THE ROUND HOUSE, by Louise Erdrich. (Harper/HarperCollins, $27.99.) A Native	15	10
""	American family faces the ramifications of a vicious crime.		
""			
14	TWO GRAVES, by Douglas Preston and Lincoln Child. (Grand Central, $26.99.) Special	16	3
""	Agent Aloysius Pendergast pursues a serial killer as well as his abducted wife.		
This	January 20, 2013	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	KILLING KENNEDY, by Bill O'Reilly and Martin Dugard. (Holt, $28.) The host of	1	14
""	“The O’Reilly Factor” recounts the events surrounding the assassination of John F.		
""	Kennedy.		
""			
2	THOMAS JEFFERSON, by Jon Meacham. (Random House, $35.) The Pulitzer	2	8
""	Prize-winning biographer celebrates Jefferson’s skills as a practical politician.		
""			
3	THE WORLD UNTIL YESTERDAY, by Jared Diamond. (Viking, $36.) The author	--	1
""	of “Guns, Germs, and Steel” examines what we can learn from traditional		
""	societies.		
""			
4	NO EASY DAY, by Mark Owen with Kevin Maurer. (Dutton, $26.95.) An account	4	18
""	by a former member of the Navy SEALs, written pseudonymously, of the mission		
""	that killed bin Laden.		
""			
5	KILLING LINCOLN, by Bill O'Reilly and Martin Dugard. (Holt, $28.) The host of	3	67
""	"""The O'Reilly Factor"" recounts the events surrounding the assassination of"		
""	Abraham Lincoln.		
""			
6	BEHIND THE BEAUTIFUL FOREVERS, by Katherine Boo. (Random House, $27.)	10	13
""	A journalist reports on families striving for better lives in a Mumbai slum.		
""			
7	AMERICA AGAIN, by Stephen Colbert, Richard Dahm, Paul Dinello, Barry Julien,	5	14
""	Tom Purcell et al.. (Grand Central, $28.99.) The mock pundit of Comedy Central’s		
""	“Colbert Report” tells how to bring America back from the brink.		
""			
8	THE SIGNAL AND THE NOISE, by Nate Silver. (Penguin Press, $27.95.) An	7	14
""	examination of predictions, the ones that come true and the ones that don’t.		
""			
9	WILD, by Cheryl Strayed. (Knopf, $25.95.) A woman's account of a life-changing	11	31
""	1,100-mile hike along the Pacific Crest Trail.		
""			
10	UNBROKEN, by Laura Hillenbrand. (Random House, $27.) An Olympic runner's	6	112
""	story of survival as a prisoner of the Japanese in World War II.		
""			
11	THE POWER OF HABIT, by Charles Duhigg. (Random House, $28.) A Times	--	28
""	reporter’s account of the science behind how we form, and break, habits.		
""			
12	A HIGHER CALL, by Adam Makos with Larry Alexander. (Berkley Caliber,	12	2
""	$26.95.) An encounter between two pilots, an American and a German, in the		
""	skies over Germany in December 1943.		
""			
13	QUIET, by Susan Cain. (Crown, $26.) Introverts — one-third of the population —	16	16
""	are undervalued in American society.		
""			
14	ROLL ME UP AND SMOKE ME WHEN I DIE, by Willie Nelson.	9	8
""	(Morrow/HarperCollins, $22.99.) The musician muses on family, friends, Texas		
