This	May 5, 2013	Last	Week
Week	Fiction	Week	On Li
""			
1	WHISKEY BEACH, by Nora Roberts. (Putnam, $27.95.) A former criminal attorney	--	1
""	who has been acquitted of his wife’s murder retreats to his family estate on a rocky		
""	New England cliff, where he is comforted by the house’s caretaker amid continuing		
""	danger.		
""			
2	DADDY'S GONE A HUNTING, by Mary Higgins Clark. (Simon & Schuster, $26.99.)	1	2
""	Two sisters are threatened by a dark secret from their family's past.		
""			
3	LIFE AFTER LIFE, by Kate Atkinson. (Little, Brown, $27.99.) A woman appears in	3	3
""	different versions of the same events, centered on World War II.		
""			
4	GONE GIRL, by Gillian Flynn. (Crown, $25.) A woman disappears on her fifth	7	46
""	anniversary; is her husband a killer?		
""			
5	TAKING EVE, by Iris Johansen. (St. Martin's, $27.99.) The forensic sculptor Eve	--	1
""	Duncan undertakes a job for a man with dark secrets; the first book in a trilogy.		
""			
6	THE BURGESS BOYS, by Elizabeth Strout. (Random House, $26.) Two brothers, both	5	4
""	lawyers, come together in a small Maine town to defend their troubled nephew.		
""			
7	DON'T GO, by Lisa Scottoline. (St. Martin's, $27.99.) An Army doctor returns from	2	2
""	Afghanistan when his wife dies in what at first appears to be an accident, and finds that		
""	his life is falling apart.		
""			
8	UNINTENDED CONSEQUENCES, by Stuart Woods. (Putnam, $26.95.) The New York	4	2
""	lawyer Stone Barrington discovers a shadowy network beneath the world of European		
""	wealth.		
""			
9	SIX YEARS, by Harlan Coben. (Dutton, $27.95.) Jake Fisher discovers that neither the	8	5
""	woman he loved nor their life together were what they seemed.		
""			
10	STARTING NOW, by Debbie Macomber. (Ballantine, $26.) A Seattle lawyer loses her	9	3
""	job and remakes her life; she finds support at the local knitting store. A Blossom Street		
""	novel.		
""			
11	THE INTERESTINGS, by Meg Wolitzer. (Riverhead, $27.95.) Six friends meet in the	11	2
""	1970s at a summer arts camp, and pursue success, and one another, over succeeding		
""	decades.		
""			
12	"A DANCE WITH DRAGONS, by George R. R. Martin. (Bantam, $35.) Book 5 of ""A"	14	69
""	"Song of Ice and Fire."""		
""			
13	A MAN WITHOUT BREATH, by Philip Kerr. (Marian Wood/Putnam, $26.95.) Bernie	--	1
""	Gunther, the Berlin cop, is sent to Smolensk to try to pin a massacre on the Russians.		
""			
14	THE STORYTELLER, by Jodi Picoult. (Emily Bestler/Atria, $28.99.) A New Hampshire	10	8
""	baker finds herself in the midst of two Holocaust stories: her grandmother’s story of		
This	May 5, 2013	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	LEAN IN, by Sheryl Sandberg with Nell Scovell. (Knopf, $24.95.) The chief	1	6
""	operating officer of Facebook urges women to pursue their careers without		
""	ambivalence.		
""			
2	THE ATHENA DOCTRINE, by John Gerzema and Michael D’Antonio. (Jossey-	--	1
""	Bass, $27.95.) How feminine values of nurturing, listening and collaborating are		
""	redefining success for both genders.		
""			
3	GULP, by Mary Roach. (Norton, $26.95.) A science writer’s pilgrimage down the	3	3
""	digestive tract.		
""			
4	UNSINKABLE, by Debbie Reynolds and Dorian Hannaway. (Morrow/HarperCollins,	4	3
""	$28.99.) A second memoir by the actress, singer and dancer.		
""			
5	THE WAY OF THE KNIFE, by Mark Mazzetti. (Penguin Press, $29.95.) The	5	2
""	Times’s national security correspondent describes how the lines betwween the		
""	C.I.A. and the American military have been blurred.		
""			
6	GIVE AND TAKE, by Adam Grant. (Viking, $27.95.) A Wharton professor’s	2	2
""	research discloses that success depends on how we interact with others.		
""			
7	UNBROKEN, by Laura Hillenbrand. (Random House, $27.) An Olympic runner's	16	126
""	story of survival as a prisoner of the Japanese in World War II.		
""			
8	THE GREAT DEFORMATION, by David A. Stockman. (PublicAffairs, $35.) A	7	3
""	revisionist account of economic history since the New Deal by Reagan’s former		
""	budget director.		
""			
9	MY WAY, by Paul Anka with David Dalton. (St. Martin's, $29.99.) A show-business	6	2
""	memoir from the singer and songwriter.		
""			
10	KILLING KENNEDY, by Bill O'Reilly and Martin Dugard. (Holt, $28.) The host of	11	29
""	“The O’Reilly Factor” recounts the events surrounding the assassination of John F.		
""	Kennedy.		
""			
11	MOM & ME & MOM, by Maya Angelou. (Random House, $22.) The developing	13	3
""	reconciliation between the poet and her mother, who sent her to live with her		
""	grandmother at age 3.		
""			
12	MY BELOVED WORLD, by Sonia Sotomayor. (Knopf, $27.95.) The Supreme Court	8	14
""	justice recalls growing up in the Bronx, attending Princeton and becoming a federal		
""	judge.		
""			
13	SALT SUGAR FAT, by Michael Moss. (Random House, $28.) A New York Times	9	8
""	reporter reveals how food companies use science to encourage us to consume		
""	more of their products.		
