This	January 12, 2014	Last	Weeks
Week	Fiction	Week	On List
""			
1	SYCAMORE ROW, by John Grisham. (Doubleday.) A sequel, about race and	1	10
""	inheritance, to “A Time to Kill.”		
""			
2	THE FIRST PHONE CALL FROM HEAVEN, by Mitch Albom. (Harper.) A small	2	7
""	Michigan town is transformed when its residents receive phone calls said to be		
""	from heaven.		
""			
3	DOCTOR SLEEP, by Stephen King. (Scribner.) Now grown up, Dan, the boy with	5	14
""	psycho-intuitive powers in “The Shining,” helps another threatened child with a gift.		
""			
4	COMMAND AUTHORITY, by Tom Clancy with Mark Greaney. (Putnam.)	4	4
""	President Jack Ryan and his son, a covert intelligence expert, try to counter a		
""	Russian threat in Tom Clancy’s last novel before his death.		
""			
5	THE GOLDFINCH, by Donna Tartt. (Little, Brown.)  A painting smuggled out of the	3	10
""	Metropolitan Museum of Art after a bombing becomes a boy’s prize, guilt and		
""	burden.		
""			
6	CROSS MY HEART, by James Patterson. (Little, Brown.) Alex Cross’s family is	6	5
""	threatened by a genius intent on proving that he is the greatest mind in the history		
""	of crime.		
""			
7	THE LONGEST RIDE, by Nicholas Sparks. (Grand Central.) The lives of two	8	15
""	couples converge unexpectedly.		
""			
8	INFERNO, by Dan Brown. (Doubleday.) The symbologist Robert Langdon, on the	9	28
""	run in Florence, must decipher a series of codes created by a Dante-loving		
""	scientist.		
""			
9	TAKEDOWN TWENTY, by Janet Evanovich. (Bantam.) The New Jersey bounty	7	6
""	hunter Stephanie Plum pursues a mobster on the lam.		
""			
10	THE GODS OF GUILT, by Michael Connelly. (Little, Brown.) Mickey Haller, a.k.a.	11	4
""	the Lincoln lawyer, defends a “digital pimp” accused of murder.		
""			
11	KING AND MAXWELL, by David Baldacci. (Grand Central.) Sean King and	10	6
""	Michelle Maxwell, former Secret Service agents turned private investigators,		
""	scrutinize the report of a soldier’s mysterious death in Afghanistan.		
""			
12	INNOCENCE, by Dean Koontz. (Bantam.) A grotesque man living in exile beneath	13	3
""	the city encounters a teenage girl hiding from dangerous enemies.		
""			
13	AND THE MOUNTAINS ECHOED, by Khaled Hosseini. (Riverhead.) A	12	24
""	multigenerational family saga centers on a brother and sister born in Afghanistan.		
""			
14	THE VALLEY OF AMAZEMENT, by Amy Tan. (Ecco/HarperCollins.) The author of	--	7
""	“The Joy Luck Club” follows mother and daughter courtesans over four decades.		
This	January 12, 2014	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	THINGS THAT MATTER, by Charles Krauthammer. (Crown Forum.) Three	1	10
""	decades’ worth of essays from the conservative columnist.		
""			
2	"KILLING JESUS, by Bill O'Reilly and Martin Dugard. (Holt.) The host of ""The"	2	14
""	"O'Reilly Factor"" recounts the events leading up to Jesus’ execution."		
""			
3	DAVID AND GOLIATH, by Malcolm Gladwell. (Little, Brown.) How disadvantages	3	13
""	can work in our favor; from the author of “The Tipping Point” and “Outliers.”		
""			
4	GEORGE WASHINGTON'S SECRET SIX, by Brian Kilmeade and Don Yaeger.	4	8
""	(Sentinel.) The story of the Culper spy ring, which aided the American cause		
""	during the Revolution.		
""			
5	THE BULLY PULPIT, by Doris Kearns Goodwin. (Simon & Schuster.) The author	5	8
""	of “Team of Rivals” explores the relationships between Theodore Roosevelt,		
""	William Howard Taft and the muckraking press.		
""			
6	I AM MALALA, by Malala Yousafzai with Christina Lamb. (Little, Brown.) The	7	12
""	experience of the Pakistani girl who advocated for women’s education and was		
""	shot by the Taliban.		
""			
7	MIRACLES AND MASSACRES, by Glenn Beck with Kevin Balfe and Hannah	6	6
""	Beck. (Threshold Editions/Mercury Radio Arts.) Little-known stories from the		
""	American past.		
""			
8	LET ME OFF AT THE TOP!, by Ron Burgundy. (Crown Archetype.) A “memoir” in	9	6
""	the voice of Will Ferrell’s anchorman character.		
""			
9	ONE SUMMER, by Bill Bryson. (Doubleday.) The author of “A Short History of	11	9
""	Nearly Everything” describes the events of the summer of 1927: Charles		
""	Lindbergh’s trans-Atlantic flight, Babe Ruth’s 60 homers, the great Mississippi		
""	flood.		
""			
10	HUMANS OF NEW YORK, by Brandon Stanton. (St. Martin's.) Four hundred color	8	11
""	photos of New Yorkers, with brief commentary by Stanton.		
""			
11	SI-COLOGY 1, by Si Robertson with Mark Schlabach. (Howard Books.) Tales	10	17
""	from Phil’s youngest brother, who works in the Duck Commander workshop.		
""			
12	KILLING KENNEDY, by Bill O'Reilly and Martin Dugard. (Holt.) The host of “The	14	38
""	O’Reilly Factor” recounts the events surrounding the assassination of John F.		
""	Kennedy.		
""			
13	HAPPY, HAPPY, HAPPY, by Phil Robertson with Mark Schlabach. (Howard	12	28
""	Books.) The Duck Commander pays tribute to “faith, family and ducks.”		
""			
14	LEAN IN, by Sheryl Sandberg with Nell Scovell. (Knopf.) The chief operating	15	40
