This	May 25, 2014	Last	Weeks
Week	Fiction	Week	On List
""			
1	UNLUCKY 13, by James Patterson and Maxine Paetro. (Little, Brown.) With the	--	1
""	return of a killer who was presumed dead, the San Francisco detective Lindsay		
""	Boxer and the Women’s Murder Club take action.		
""			
2	FIELD OF PREY, by John Sandford. (Putnam.) Lucas Davenport investigates	--	1
""	when multiple bodies are found in the middle of the Minnesota cornfields.		
""			
3	WALKING ON WATER, by Richard Paul Evans. (Simon & Schuster.) In the fifth	--	1
""	and final book of the “Walk” series, Alan reaches Key West.		
""			
4	THE TARGET, by David Baldacci. (Grand Central.) As the government hit man	1	3
""	Will Robie and his partner, Jessica Reel, prepare for a mission, they face a new		
""	adversary.		
""			
5	THE GOLDFINCH, by Donna Tartt. (Little, Brown.)  A painting smuggled out of the	3	29
""	Metropolitan Museum of Art after a bombing becomes a boy’s prize, guilt and		
""	burden.		
""			
6	NATCHEZ BURNING, by Greg Iles. (Morrow/HarperCollins.) Penn Cage, a former	2	2
""	prosecutor in Natchez, Miss., delves into the secrets of his father, a doctor who		
""	has been accused of murdering an African-American nurse.		
""			
7	THE COLLECTOR, by Nora Roberts. (Putnam.) A writer travels the world of	4	4
""	affluent art collectors to learn the truth about what appears to be a murder/suicide.		
""			
8	CHESTNUT STREET, by Maeve Binchy. (Knopf.) Binchy, who died in 2012,	5	3
""	depicts ordinary lives in Dublin.		
""			
9	THE INVENTION OF WINGS, by Sue Monk Kidd. (Viking.) The relationship	6	18
""	between a wealthy Charleston girl, Sarah Grimké, who will grow up to become a		
""	prominent abolitionist, and the slave she is given for her 11th birthday.		
""			
10	ALL THE LIGHT WE CANNOT SEE, by Anthony Doerr. (Scribner.) The lives of a	--	1
""	blind French girl and a gadget-obsessed German boy before and during World		
""	War II, when their paths eventually cross.		
""			
11	DELICIOUS!, by Ruth Reichl. (Random House.) The food writer and editor’s first	--	1
""	novel concerns a woman who finds herself when the magazine where she works		
""	closes.		
""			
12	MIDNIGHT CROSSROAD, by Charlaine Harris. (Ace.) Secrets lurk in a small	--	1
""	Texas town; the start of a new series.		
""			
13	ROBERT B. PARKER'S CHEAP SHOT, by Ace Atkins. (Putnam.) Spenser	--	1
""	searches for the kidnapped son of a player for the New England Patriots; a		
""	continuation of the series by Parker, who died in 2010.		
This	May 25, 2014	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	CAPITAL IN THE TWENTY-FIRST CENTURY, by Thomas Piketty.	1	5
""	(Belknap/Harvard University.) A French economist’s analysis of centuries of		
""	economic history predicts worsening inequality and proposes solutions.		
""			
2	FINDING ME, by Michelle Knight with Michelle Burford. (Weinstein.) The story of a	--	1
""	woman kidnapped in Cleveland in 2002, then tortured, who escaped in 2013.		
""			
3	THE CLOSER, by Mariano Rivera with Wayne Coffey. (Little, Brown.) A memoir	--	1
""	by the great Yankees pitcher.		
""			
4	EVERYBODY'S GOT SOMETHING, by Robin Roberts with Veronica Chambers.	4	3
""	(Grand Central.) A memoir by the “Good Morning America” anchor discusses her		
""	struggle with breast cancer and a rare blood disorder.		
""			
5	A FIGHTING CHANCE, by Elizabeth Warren. (Metropolitan/Holt.) The	2	3
""	Massachusetts senator describes her life, her academic work and her battle for a		
""	consumer protection agency.		
""			
6	GOOD CALL, by Jase Robertson with Mark Schlabach. (Howard Books.) The	--	1
""	second-oldest son of the Robertson family from the A&E show “Duck Dynasty”		
""	shares anecdotes and reflections on his faith.		
""			
7	FLASH BOYS, by Michael Lewis. (Norton.) The world of high-frequency computer-	3	6
""	driven trading.		
""			
8	THRIVE, by Arianna Huffington. (Harmony.) Personal well-being as the	6	7
""	indispensable third measure — with money and power — of success.		
""			
9	JAMES MADISON, by Lynne Cheney. (Viking.) A biography of the fourth president	--	1
""	and advocate for the Constitution.		
""			
10	LET'S JUST SAY IT WASN'T PRETTY, by Diane Keaton. (Random House.) The	5	2
""	actor discusses aging, beauty and her personal style.		
""			
11	LEAN IN, by Sheryl Sandberg with Nell Scovell. (Knopf.) The chief operating	8	59
""	officer of Facebook urges women to pursue their careers without ambivalence.		
""			
12	DAVID AND GOLIATH, by Malcolm Gladwell. (Little, Brown.) How disadvantages	9	32
""	can work in our favor.		
""			
13	JOHN WAYNE: THE LIFE AND LEGEND, by Scott Eyman. (Simon & Schuster.) A	7	4
""	biography of the movie star surveys his life, his death and his legend.		
""			
14	UNBROKEN, by Laura Hillenbrand. (Random House.) An Olympic runner’s story	14	168
""	of survival as a prisoner of the Japanese in World War II.		
""			
15	"10% HAPPIER, by Dan Harris. (It Books.) A co-anchor of ""Nightline"" reports on"	11	9
