his	May 31, 2015	Last	Week
eek	Fiction	Week	On Li
""			
1	THE GIRL ON THE TRAIN, by Paula Hawkins. (Riverhead.) A psychological thriller set	2	18
""	in the environs of London.		
""			
2	ALL THE LIGHT WE CANNOT SEE, by Anthony Doerr. (Scribner.) The lives of a blind	3	54
""	French girl and a gadget-obsessed German boy before and during World War II; the		
""	winner of the 2015 Pulitzer Prize.		
""			
3	14TH DEADLY SIN, by James Patterson and Maxine Paetro. (Little, Brown.) A video of	1	2
""	a shocking crime surfaces, casting suspicion on a San Francisco detective's		
""	colleagues.		
""			
4	MEMORY MAN, by David Baldacci. (Grand Central.) A police detective uses his	4	4
""	extraordinary memory when tackling the case of his family's murder.		
""			
5	DRY BONES, by Craig Johnson. (Viking.) Sheriff Walt Longmire of Absaroka County,	--	1
""	Wyo., investigates the death of a Cheyenne rancher on whose property a valuable		
""	dinosaur skeleton was found. The basis of the series “Longmire.”		
""			
6	GATHERING PREY, by John Sandford. (Putnam.) In the 25th installment of the Prey	5	3
""	series, Lucas Davenport is on the trail of killers who have targeted a group of		
""	vagabonds called the Travelers.		
""			
7	A GOD IN RUINS, by Kate Atkinson. (Little, Brown.) Postwar Britain as seen through	6	2
""	the members of a well-to-do family.		
""			
8	THE FORGOTTEN ROOM, by Lincoln Child. (Doubleday.) Probing a death, the	--	1
""	“enigmatologist” Jeremy Logan discovers a hidden room at a Newport estate where a		
""	dangerous experiment took place. A sequel to “The Third Gate.”		
""			
9	THE NIGHTINGALE, by Kristin Hannah. (St. Martin's.) Two sisters in World War II	8	15
""	France: one struggling to survive in the countryside, the other joining the Resistance in		
""	Paris.		
""			
10	THE BONE TREE, by Greg Iles. (Morrow/HarperCollins.) In the second book of a	7	4
""	trilogy, following “Natchez Burning,” the prosecutor Penn Cage’s comes up against the		
""	K.K.K.		
""			
11	GOD HELP THE CHILD, by Toni Morrison. (Knopf.) Her mother’s rejection shapes the	9	4
""	life of a dark-skinned woman who is successful in business but personally unhappy.		
""			
12	LUCKIEST GIRL ALIVE, by Jessica Knoll. (Simon & Schuster.) The life of a cutthroat	--	1
""	and successful New York magazine writer is shaken when secrets from her past are		
""	revealed during the filming of a documentary about a shooting at the prestigious high		
""	school she attended.		
""			
13	SOLITUDE CREEK, by Jeffery Deaver. (Grand Central.) Kathryn Dance of the	--	1
""	California Bureau of Investigation takes on a killer who scares people into causing their		
This	May 31, 2015	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	THE WRIGHT BROTHERS, by David McCullough. (Simon & Schuster.) The story	1	2
""	of the bicycle mechanics from Ohio who ushered in the age of flight.		
""			
2	AND THE GOOD NEWS IS . . ., by Dana Perino. (Twelve.) The Fox News	4	4
""	contributor and former press secretary under President George W. Bush reviews		
""	her life and career.		
""			
3	CLINTON CASH, by Peter Schweizer. (Harper/HarperCollins.) An examination of	2	2
""	donations made to the Clinton Foundation by foreign entities.		
""			
4	A LUCKY LIFE INTERRUPTED, by Tom Brokaw. (Random House.) The journalist	--	1
""	describes the year following his diagnosis with multiple myeloma.		
""			
5	THE ROAD TO CHARACTER, by David Brooks. (Random House.) The Times	3	5
""	columnist extols personal virtues like kindness and honesty in a materialistic age.		
""			
6	BILL O'REILLY'S LEGENDS AND LIES, by David Fisher. (Holt.) Stories of the	11	6
""	American West; a companion volume to the Fox News series.		
""			
7	THE BOOK OF JOAN, by Melissa Rivers. (Crown Archetype.) A memoir of life,	6	2
""	often uproarious, with the comedian Joan Rivers, written by her daughter.		
""			
8	IT'S A LONG STORY, by Willie Nelson with David Ritz. (Little, Brown.) The	5	2
""	country music star discusses his life’s journey, from selling encyclopedias to		
""	professional fame.		
""			
9	HOLD STILL, by Sally Mann. (Little, Brown.) The photographer’s thoughts on art,	--	1
""	photography, family and the South.		
""			
10	AMERICAN WIFE, by Taya Kyle with Jim DeFelice. (Morrow/HarperCollins.) The	7	2
""	widow of Chris Kyle, of “American Sniper” fame, describes her life after his death.		
""			
11	DEAD WAKE, by Erik Larson. (Crown.) The last voyage of the Lusitania, the	9	10
""	passenger liner sunk by a German torpedo in 1915.		
""			
12	HOPE, by Amanda Berry and Gina DeJesus with Mary Jordan and Kevin Sullivan.	8	3
""	(Viking.) Two of the women abducted and abused by a Cleveland school bus		
""	driver until they escaped after 10 years tell their story.		
""			
13	BEING MORTAL, by Atul Gawande. (Metropolitan/Holt.) The surgeon and New	14	32
""	Yorker writer considers how doctors fail patients at the end of life and how they		
""	can do better.		
""			
14	THE QUARTET, by Joseph J. Ellis. (Knopf.) How Washington, Hamilton, Jay and	--	1
""	Madison created the Constitution.		
""			
15	MISSOULA, by Jon Krakauer. (Doubleday.) The author of “Into the Wild”	13	4
