This	August 9, 2015	Last	Wee
Week	Fiction	Week	On Li
""			
1	GO SET A WATCHMAN, by Harper Lee. (Harper.) In the mid-1950s, a grown-up Jean	1	2
""	Louise Finch returns home to Maycomb find that her adored father is not as perfect as		
""	she believed.		
""			
2	THE GIRL ON THE TRAIN, by Paula Hawkins. (Riverhead.) A psychological thriller set	2	28
""	in the environs of London.		
""			
3	ALL THE LIGHT WE CANNOT SEE, by Anthony Doerr. (Scribner.) The lives of a blind	3	64
""	French girl and a gadget-obsessed German boy before and during World War II; the		
""	winner of the 2015 Pulitzer Prize.		
""			
4	THE ENGLISH SPY, by Daniel Silva. (Harper.) Gabriel Allon, an art restorer and	5	4
""	occasional spy for the Israeli secret service, helps British intelligence track down the		
""	killer of a beautiful former member of the royal family.		
""			
5	CODE OF CONDUCT, by Brad Thor. (Emily Bestler/Atria.) In Thor’s 15th thriller, the	6	3
""	counterterrorism operative Scot Harvath undertakes a deadly assignment set in motion		
""	by a leaked video.		
""			
6	ARMADA, by Ernest Cline. (Crown.) A teenage gamer helps save the Earth from an	4	2
""	alien invasion.		
""			
7	SPEAKING IN BONES, by Kathy Reichs. (Bantam.) The forensic anthropologist	--	1
""	Temperance Brennan becomes involved in an investigation with an amateur		
""	"""websleuth."""		
""			
8	THE NIGHTINGALE, by Kristin Hannah. (St. Martin's.) Two sisters in World War II	8	25
""	France: one struggling to survive in the countryside, the other joining the Resistance in		
""	Paris.		
""			
9	THE RUMOR, by Elin Hilderbrand. (Little, Brown.) Two friends on Nantucket must deal	9	6
""	with damaging gossip about themselves and their husbands.		
""			
10	LUCKIEST GIRL ALIVE, by Jessica Knoll. (Simon & Schuster.) The life of a successful	12	11
""	New York magazine writer is shaken when secrets from her past are revealed.		
""			
11	THE LITTLE PARIS BOOKSHOP, by Nina George. (Crown.) A bookseller embarks on	16	4
""	a journey in pursuit of his own happiness.		
""			
12	IN THE UNLIKELY EVENT, by Judy Blume. (Knopf.) Secrets are revealed and love	14	8
""	stories play out against the backdrop of a series of plane crashes in 1950s New		
""	Jersey.		
""			
13	FINDERS KEEPERS, by Stephen King. (Scribner.) A deranged reader's infatuation	13	8
""	"with a Salingeresque novelist has dangerous consequences in a sequel to ""Mr."		
""	"Mercedes."""		
This	August 9, 2015	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	BETWEEN THE WORLD AND ME, by Ta-Nehisi Coates. (Spiegel & Grau.) A	1	2
""	meditation on race in America as well as a personal story by the national		
""	correspondent of The Atlantic, framed as a letter to his teenage son.		
""			
2	THE WRIGHT BROTHERS, by David McCullough. (Simon & Schuster.) The story	2	12
""	of the bicycle mechanics from Ohio who ushered in the age of flight.		
""			
3	MODERN ROMANCE, by Aziz Ansari with Eric Klinenberg. (Penguin Press.) The	3	6
""	comedian enlists a sociologist to help him understand today’s dating scene.		
""			
4	DOWN THE RABBIT HOLE, by Holly Madison. (Dey Street/Morrow.) Life inside	4	5
""	the Playboy Mansion, by a former bunny and girlfriend of Hugh Hefner.		
""			
5	BARBARIAN DAYS, by William Finnegan. (Penguin Press.) This surfing chronicle	--	1
""	and memoir by a New Yorker writer celebrates a lifelong obsession.		
""			
6	BEING MORTAL, by Atul Gawande. (Metropolitan/Holt.) The surgeon and New	5	42
""	Yorker writer considers how doctors fail patients at the end of life and how they		
""	can do better.		
""			
7	SICK IN THE HEAD, by Judd Apatow. (Random House.) Thirty years’ worth of the	10	6
""	filmmaker’s interviews with comedians.		
""			
8	THE CONSERVATIVE HEART, by Arthur C. Brooks. (Broadside/HarperCollins.)	9	2
""	The president of the American Enterprise Institute urges conservatives to revise		
""	their rhetoric and make clear their concern for everyday people.		
""			
9	DEAD WAKE, by Erik Larson. (Crown.) The last voyage of the Lusitania, the	6	20
""	passenger liner sunk by a German torpedo in 1915.		
""			
10	A FULL LIFE, by Jimmy Carter. (Simon & Schuster.) At 90, the 39th president	7	3
""	(and Nobel Prize winner) reflects on his private and public life.		
""			
11	THE OREGON TRAIL, by Rinker Buck. (Simon & Schuster.) The author and his	14	4
""	brother travel 2,000 miles by mule and wagon from Missouri to Oregon.		
""			
12	THE ROAD TO CHARACTER, by David Brooks. (Random House.) The Times	11	15
""	columnist extols personal virtues like kindness and honesty in a materialistic age.		
""			
13	A TIME FOR TRUTH, by Ted Cruz. (Broadside/HarperCollins.) The Texas senator	8	3
""	and Republican presidential candidate tells his personal and political story, and		
""	"offers ideas for ""reigniting the promise of America."""		
""			
14	¡ADIOS, AMERICA!, by Ann Coulter. (Regnery.) The political commentator	13	8
""	denounces immigrants and their liberal supporters.		
""			
15	THE QUARTET, by Joseph J. Ellis. (Knopf.) How Washington, Hamilton, Jay and	12	10
