This	September 13, 2015	Last	Wee
Week	Fiction	Week	On Li
""			
1	X, by Sue Grafton. (Marian Wood/Putnam.) A variety of X’s lead Kinsey Millhone into	--	1
""	deep secrets and a cold case.		
""			
2	GO SET A WATCHMAN, by Harper Lee. (Harper.) In the mid-1950s, a grown-up Jean	1	7
""	Louise Finch returns home to find that her adored father is not as perfect as she		
""	believed.		
""			
3	THE NATURE OF THE BEAST, by Louise Penny. (Minotaur.) Retired from the Sûreté	--	1
""	du Québec to the village of Three Pines, Armand Gamache is faced with the murder of		
""	a troublesome 9-year-old boy in the 11th book in this series.		
""			
4	THE GIRL ON THE TRAIN, by Paula Hawkins. (Riverhead.) A psychological thriller set	2	33
""	in the environs of London.		
""			
5	ALL THE LIGHT WE CANNOT SEE, by Anthony Doerr. (Scribner.) The lives of a blind	3	69
""	French girl and a gadget-obsessed German boy before and during World War II; the		
""	winner of the 2015 Pulitzer Prize.		
""			
6	THE TAMING OF THE QUEEN, by Philippa Gregory. (Touchstone.) The relationship	--	1
""	between Henry VIII and Catherine Parr, his sixth wife, who survived him.		
""			
7	SECONDHAND SOULS, by Christopher Moore. (Morrow/HarperCollins.) In a sequel to	--	1
""	“A Dirty Job,” Charlie Asher, a Death Merchant, must stop souls in San Francisco from		
""	disappearing, even though he is trapped in a 14-inch body.		
""			
8	FRICTION, by Sandra Brown. (Grand Central.) A Texas Ranger fights for custody of	4	2
""	his daughter amid complications stemming from his attraction to the judge.		
""			
9	ALERT, by James Patterson and Michael Ledwidge. (Little, Brown.) Detective Michael	5	4
""	Bennett and the F.B.I.'s Emily Parker must save New York City from a deadly threat.		
""			
10	THE NIGHTINGALE, by Kristin Hannah. (St. Martin's.) Two sisters in World War II	10	30
""	France: one struggling to survive in the countryside, the other joining the Resistance in		
""	Paris.		
""			
11	"CIRCLING THE SUN, by Paula McLain. (Ballantine.) A novel by the author of ""The"	6	5
""	"Paris Wife"" about Beryl Markham, a horse trainer and aviatrix who was raised in"		
""	Kenya.		
""			
12	WHO DO YOU LOVE, by Jennifer Weiner. (Atria.) Andy and Rachel meet as children,	8	3
""	then come together and separate repeatedly over the years.		
""			
13	LUCKIEST GIRL ALIVE, by Jessica Knoll. (Simon & Schuster.) The life of a successful	11	16
""	New York magazine writer is shaken when secrets from her past are revealed.		
""			
14	SILVER LININGS, by Debbie Macomber. (Ballantine.) Jo Marie, keeper of the Rose	9	3
""	Harbor Inn, and two guests deal with trouble in relationships.		
This	September 13, 2015	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	PLUNDER AND DECEIT, by Mark R. Levin. (Threshold Editions.) The talk-radio	1	4
""	host urges young Americans to resist the statist masterminds who, he says, are		
""	burdening them with debt and inferior education.		
""			
2	BETWEEN THE WORLD AND ME, by Ta-Nehisi Coates. (Spiegel & Grau.) A	2	7
""	meditation on race in America as well as a personal story by the national		
""	correspondent of The Atlantic, framed as a letter to his teenage son.		
""			
3	THE WRIGHT BROTHERS, by David McCullough. (Simon & Schuster.) The story	3	17
""	of the bicycle mechanics from Ohio who ushered in the age of flight.		
""			
4	BEING MORTAL, by Atul Gawande. (Metropolitan/Holt.) The surgeon and New	4	47
""	Yorker writer considers how doctors fail patients at the end of life and how they		
""	can do better.		
""			
5	MODERN ROMANCE, by Aziz Ansari with Eric Klinenberg. (Penguin Press.) The	6	11
""	comedian enlists a sociologist to help him understand today’s dating scene.		
""			
6	YOU'RE NEVER WEIRD ON THE INTERNET (ALMOST), by Felicia Day.	5	3
""	(Touchstone.) A memoir of rising to stardom in the web video world.		
""			
7	DEAD WAKE, by Erik Larson. (Crown.) The last voyage of the Lusitania, the	7	25
""	passenger liner sunk by a German torpedo in 1915.		
""			
8	NEUROTRIBES, by Steve Silberman. (Avery.) A science writer argues for the	--	1
""	concept of neurodiversity, the idea that conditions like autism are natural human		
""	variations with some adaptive elements, and surveys the history of autism for what		
""	it can tell us about the current spike in diagnoses.		
""			
9	THE ROAD TO CHARACTER, by David Brooks. (Random House.) The Times	10	20
""	columnist extols personal virtues like kindness and honesty in a materialistic age.		
""			
10	A FULL LIFE, by Jimmy Carter. (Simon & Schuster.) At 90, the 39th president	8	7
""	(and Nobel Prize winner) reflects on his private and public life.		
""			
11	THE LAST LOVE SONG, by Tracy Daugherty. (St. Martin's.) A biography of the	--	1
""	journalist and novelist Joan Didion.		
""			
12	ELON MUSK, by Ashlee Vance. (Ecco/HarperCollins.) Musk’s life from his difficult	12	13
""	South African childhood to his involvement in Internet start-ups like SpaceX.		
""			
13	SICK IN THE HEAD, by Judd Apatow. (Random House.) Thirty years’ worth of the	15	10
""	filmmaker’s interviews with comedians.		
""			
14	THE OREGON TRAIL, by Rinker Buck. (Simon & Schuster.) The author and his	14	9
""	brother travel 2,000 miles by mule and wagon from Missouri to Oregon.		
