his	September 20, 2015	Last	Week
eek	Fiction	Week	On Li
""			
1	THE GIRL IN THE SPIDER'S WEB, by David Lagercrantz. (Knopf.) Mikael Blomkvist	--	1
""	and Lisbeth Salander are back in this continuation of Stieg Larsson’s Millennium series.		
""			
2	PURITY, by Jonathan Franzen. (Farrar, Straus & Giroux.) Franzen’s title character,	--	1
""	burdened by college debt, a lack of direction and a sharp intelligence, is a damaged		
""	innocent in need of rescue and redemption.		
""			
3	GO SET A WATCHMAN, by Harper Lee. (Harper.) In the mid-1950s, a grown-up Jean	2	8
""	Louise Finch returns home to find that her adored father is not as perfect as she		
""	believed.		
""			
4	STAR WARS: AFTERMATH, by Chuck Wendig. (Del Rey.) In this continuation of the	--	1
""	‘Star Wars’ series, the Imperial elite haven’t reckoned on the former rebel fighter Norra		
""	Wexley.		
""			
5	X, by Sue Grafton. (Marian Wood/Putnam.) A variety of X’s lead Kinsey Millhone into	1	2
""	deep secrets and onto the trail of a cold case.		
""			
6	THE GIRL ON THE TRAIN, by Paula Hawkins. (Riverhead.) A psychological thriller set	4	34
""	in the environs of London.		
""			
7	ALL THE LIGHT WE CANNOT SEE, by Anthony Doerr. (Scribner.) The lives of a blind	5	70
""	French girl and a gadget-obsessed German boy before and during World War II; the		
""	winner of the 2015 Pulitzer Prize.		
""			
8	UNDERCOVER, by Danielle Steel. (Delacorte.) A woman recovering from an act of	--	1
""	violence in Buenos Aires crosses paths with a D.E.A. agent in Paris, and both are in		
""	danger.		
""			
9	THE SOLOMON CURSE, by Clive Cussler. (Putnam.) The wealthy couple Sam and	--	1
""	Remi Fargo investigate a dangerous legend in the Solomon Islands.		
""			
10	THE NATURE OF THE BEAST, by Louise Penny. (Minotaur.) Retired from the Sûreté	3	2
""	du Québec to the village of Three Pines, Armand Gamache is faced with the murder of		
""	a troublesome 9-year-old boy in the 11th book in this series.		
""			
11	DARK GHOST, by Christine Feehan. (Berkley.) A vampire slayer disappears in the	--	1
""	Carpathians.		
""			
12	FRICTION, by Sandra Brown. (Grand Central.) A Texas Ranger fights for custody of his	8	3
""	daughter amid complications stemming from his attraction to the judge.		
""			
13	THE NIGHTINGALE, by Kristin Hannah. (St. Martin's.) Two sisters in World War II	10	31
""	France: one struggling to survive in the countryside, the other joining the Resistance in		
""	Paris.		
""			
14	THE TAMING OF THE QUEEN, by Philippa Gregory. (Touchstone.) The relationship	6	2
This	September 20, 2015	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	PLUNDER AND DECEIT, by Mark R. Levin. (Threshold Editions.) The talk-radio	1	5
""	host urges young Americans to resist the statist masterminds who, he says, are		
""	burdening them with debt and inferior education.		
""			
2	BETWEEN THE WORLD AND ME, by Ta-Nehisi Coates. (Spiegel & Grau.) A	2	8
""	meditation on race in America as well as a personal story by the national		
""	correspondent of The Atlantic, framed as a letter to his teenage son.		
""			
3	EXCEPTIONAL, by Dick Cheney and Liz Cheney. (Threshold Editions.) The	--	1
""	former vice president and his daughter chart their vision for a formidable future		
""	America.		
""			
4	THE WRIGHT BROTHERS, by David McCullough. (Simon & Schuster.) The story	3	18
""	of the bicycle mechanics from Ohio who ushered in the age of flight.		
""			
5	BEING MORTAL, by Atul Gawande. (Metropolitan/Holt.) The surgeon and New	4	48
""	Yorker writer considers how doctors fail patients at the end of life and how they		
""	can do better.		
""			
6	ENDZONE, by John U. Bacon. (St. Martin's Press.) A tribute to the Michigan	--	1
""	Wolverines football program, its rise, fall and resurgence.		
""			
7	MODERN ROMANCE, by Aziz Ansari with Eric Klinenberg. (Penguin Press.) The	5	12
""	comedian enlists a sociologist to help him understand today’s dating scene.		
""			
8	NEUROTRIBES, by Steve Silberman. (Avery.) A science writer argues for the	8	2
""	concept of neurodiversity, the idea that conditions like autism are natural human		
""	variations with some adaptive elements, and surveys the history of autism for what		
""	it can tell us about the current spike in diagnoses.		
""			
9	ON THE MOVE, by Oliver Sacks. (Knopf.) A memoir by the neurologist and writer,	--	2
""	the author of “Awakenings” and many other books, who died in August.		
""			
10	DEAD WAKE, by Erik Larson. (Crown.) The last voyage of the Lusitania, the	7	26
""	passenger liner notoriously sunk by a German torpedo in 1915.		
""			
11	SISTERS IN LAW, by Linda Hirshman. (Harper/HarperCollins.) Two women who	--	1
""	have imprinted Supreme Court history: Sandra Day O’Connor and Ruth Bader		
""	Ginsburg.		
""			
12	RELENTLESS STRIKE, by Sean Naylor. (St. Martin's Press.) A soldier talks of life	--	1
""	on the inside, as a special-operations commando.		
""			
13	THE ROAD TO CHARACTER, by David Brooks. (Random House.) The Times	9	21
""	columnist extols personal virtues like kindness and honesty in a materialistic age.		
""			
14	A FULL LIFE, by Jimmy Carter. (Simon & Schuster.) At 90, the 39th president	10	8
