his	March 13, 2016	Last	Wee
eek	Fiction	Week	On Li
""			
1	ALL THE LIGHT WE CANNOT SEE, by Anthony Doerr. (Scribner.) The lives of a blind	2	95
""	French girl and a gadget-obsessed German boy before and during World War II.		
""			
2	A GIRL'S GUIDE TO MOVING ON, by Debbie Macomber. (Ballantine.) A mother and her	--	1
""	daughter-in-law both leave unhappy marriages and take up with new men.		
""			
3	THE GIRL ON THE TRAIN, by Paula Hawkins. (Riverhead.) A psychological thriller set in	3	59
""	the environs of London.		
""			
4	THE NIGHTINGALE, by Kristin Hannah. (St. Martin's.) Two sisters in World War II France:	4	52
""	one struggling to survive in the countryside, the other joining the Resistance in Paris.		
""			
5	GO SET A WATCHMAN, by Harper Lee. (Harper.) In the mid-1950s, a grown-up Jean	9	31
""	Louise Finch returns home to find that her adored father is not as perfect as she believed.		
""			
6	COMETH THE HOUR, by Jeffrey Archer. (St. Martin's.) The sixth and penultimate book of	1	2
""	the Clifton Chronicles brings the Cliftons and the Barringtons into the 1970s.		
""			
7	WEDDING CAKE MURDER, by Joanne Fluke. (Kensington.) The Lake Eden, Minn., baker	--	1
""	Hannah Swensen is about to get married, but first she must solve the murder of a visiting		
""	celebrity chef. Recipes included.		
""			
8	MY NAME IS LUCY BARTON, by Elizabeth Strout. (Random House.) A woman struggles	8	7
""	with memories of her impoverished and disturbing childhood and its effect on the present		
""	as she attempts to reconcile with her mother.		
""			
9	BROTHERHOOD IN DEATH, by J. D. Robb. (Berkley.) Lt. Eve Dallas of the N.Y.P.D.	5	4
""	helps a friend and her husband solve a mystery involving politics and real estate; by Nora		
""	Roberts, writing pseudonymously.		
""			
10	NYPD RED 4, by James Patterson and Marshall Karp. (Little, Brown.) Detective Zach	6	5
""	Jordan and his partner, members of an elite task force that protects the rich and famous,		
""	pursue a cold-blooded killer.		
""			
11	THE WIDOW, by Fiona Barton. (New American Library.) When a suspect in a missing-	12	2
""	child case dies, reporters and the police think they’ll get the real story from his widow.		
""	They’re wrong.		
""			
12	FIND HER, by Lisa Gardner. (Dutton.) The Boston detective D. D. Warren hunts for a	7	3
""	missing woman who was kidnapped and abused as a college student and may have		
""	become a vigilante.		
""			
13	ROGUE LAWYER, by John Grisham. (Doubleday.) The attorney Sebastian Rudd is a “lone	10	19
""	gunman” who hates injustice and the system and defends unpopular clients.		
""			
14	THE SWANS OF FIFTH AVENUE, by Melanie Benjamin. (Delacorte.) A novel based on	13	5
""	the friendship between Truman Capote and Babe Paley and her coterie, which began in		
""	the 1950s and ended 20 years later in scandal.		
This	March 13, 2016	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	WHEN BREATH BECOMES AIR, by Paul Kalanithi. (Random House.) A memoir	1	7
""	by a physician who received a diagnosis of Stage IV lung cancer at the age of 36.		
""			
2	BETWEEN THE WORLD AND ME, by Ta-Nehisi Coates. (Spiegel & Grau.) A	3	33
""	meditation on race in America; winner of the National Book Award.		
""			
3	PLAYING TO THE EDGE, by Michael V. Hayden. (Penguin Press.) Press) A	--	1
""	former C.I.A. director defends his policies.		
""			
4	A MOTHER'S RECKONING, by Sue Klebold. (Crown.) The mother of one of the	2	2
""	Columbine shooters wrestles with her grief and guilt and discusses how parents		
""	can become more aware of the signs of mental illness in teenagers.		
""			
5	THE ROAD TO LITTLE DRIBBLING, by Bill Bryson. (Doubleday.) An American	5	6
""	expatriate travels around his adopted country, Britain.		
""			
6	ORIGINALS, by Adam Grant. (Viking.) A Wharton School professor argues that	9	4
""	innovators are made, not born, and offers suggestions for how to become one.		
""			
7	THE NAME OF GOD IS MERCY, by Pope Francis with Andrea Tornielli. (Random	4	7
""	House.) In a conversation with a Vatican reporter, the pontiff explores the		
""	cornerstone of his faith.		
""			
8	AND THEN ALL HELL BROKE LOOSE, by Richard Engel. (Simon & Schuster.)	7	3
""	NBC’s chief foreign correspondent discusses the Arab Spring and war in the		
""	Middle East.		
""			
9	BEING MORTAL, by Atul Gawande. (Metropolitan/Holt.) The surgeon and New	10	63
""	Yorker writer considers how doctors fail patients at the end of life and how they		
""	can do better.		
""			
10	DARK MONEY, by Jane Mayer. (Doubleday.) An account of how the Koch	6	6
""	brothers and other super-wealthy donors deployed their money to change		
""	American politics.		
""			
11	THOMAS JEFFERSON AND THE TRIPOLI PIRATES, by Brian Kilmeade and	14	17
""	Don Yaeger. (Sentinel.) The war against the Barbary pirates in 1801.		
""			
12	LEONARD, by William Shatner with David Fisher. (Thomas Dunne/St. Martin's.) A	11	2
""	memoir of the complicated 50-year friendship between the leading actors of “Star		
""	Trek.”		
""			
13	IN OTHER WORDS, by Jhumpa Lahiri. (Knopf.) The Pulitzer Prize-winning	15	3
""	novelist describes learning to write in another language, Italian.		
""			
14	KILLING REAGAN, by Bill O'Reilly and Martin Dugard. (Holt.) The host of “The	--	22
""	O’Reilly Factor” recounts the events surrounding the attempted assassination of		
