This	May 22, 2016	Last	Wee
Week	Fiction	Week	On Li
""			
1	15TH AFFAIR, by James Patterson and Maxine Paetro. (Little, Brown.) When a brutal	--	1
""	murder threatens the domestic happiness of the San Francisco police detective Lindsay		
""	Boxer, she turns for help to the Women's Murder Club.		
""			
2	THE LAST MILE, by David Baldacci. (Grand Central.) In a sequel to “Memory Man,”	2	3
""	Amos Decker, a detective with an extraordinary memory, helps the F.B.I. investigate the		
""	case of a convicted killer who wins a last-minute reprieve.		
""			
3	THE APARTMENT, by Danielle Steel. (Delacorte.) Four young women share a Hell’s	--	1
""	Kitchen loft.		
""			
4	EXTREME PREY, by John Sandford. (Putnam.) Lucas Davenport, who has left the	1	2
""	Minnesota Bureau of Criminal Apprehension, is in Iowa trying to foil a plot to		
""	assassinate a Hillary Clinton-like candidate. The 26th Lucas Davenport thriller.		
""			
5	STAR WARS: BLOODLINE, by Claudia Gray. (Del Rey.) Leia Organa is urged to	--	1
""	become First Senator of the New Republic.		
""			
6	THE NEST, by Cynthia D'Aprix Sweeney. (Ecco/HarperCollins.) Siblings in a	5	7
""	dysfunctional New York family must grapple with a reduced inheritance.		
""			
7	THE GIRL ON THE TRAIN, by Paula Hawkins. (Riverhead.) A psychological thriller set	4	69
""	in the environs of London.		
""			
8	EVERYBODY'S FOOL, by Richard Russo. (Knopf.) We’re back in North Bath, N.Y., in a	--	1
""	sequel to “Nobody’s Fool.”		
""			
9	THE OBSESSION, by Nora Roberts. (Berkley.) A woman is haunted by her father’s	3	4
""	crimes as she tries to pursue love and her work as a photographer.		
""			
10	THE NIGHTINGALE, by Kristin Hannah. (St. Martin's.) Two sisters in World War II	7	62
""	France: one struggling to survive in the countryside, the other joining the Resistance in		
""	Paris.		
""			
11	ALL THE LIGHT WE CANNOT SEE, by Anthony Doerr. (Scribner.) The lives of a blind	9	105
""	French girl and a gadget-obsessed German boy before and during World War II.		
""			
12	ELIGIBLE, by Curtis Sittenfeld. (Random House.) The author of “Prep” and “American	6	3
""	Wife” retells “Pride and Prejudice,” set in the Cincinnati suburbs in the present.		
""			
13	ZERO K, by Don DeLillo. (Scribner.) A billionaire and his son meet at a remote desert	--	1
""	compound dedicated to preserving bodies until they can be returned to life in the future.		
""			
14	AS TIME GOES BY, by Mary Higgins Clark. (Simon & Schuster.) Secrets emerge when	8	5
""	a television journalist searching for her birth mother covers the trial of the widow of a		
""	wealthy doctor.		
This	May 22, 2016	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	THE RAINBOW COMES AND GOES, by Anderson Cooper and Gloria Vanderbilt.	1	5
""	(Harper.) Mother and son discuss their relationship and difficult family history.		
""			
2	GRIT, by Angela Duckworth. (Scribner.) A psychologist and consultant argues that	--	1
""	passion and perseverance are the keys to success.		
""			
3	HAMILTON: THE REVOLUTION, by Lin-Manuel Miranda and Jeremy McCarter.	14	4
""	(Grand Central/Melcher Media.) The libretto of the Grammy- and Pulitzer Prize-		
""	winning musical, annotated by its creator, along with backstage photos, a		
""	production history and interviews with the cast.		
""			
4	BECOMING GRANDMA, by Lesley Stahl. (Blue Rider.) The reporter investigates	9	5
""	how “grandmothering” transforms a woman’s life.		
""			
5	WHEN BREATH BECOMES AIR, by Paul Kalanithi. (Random House.) A memoir	4	17
""	by a physician who received a diagnosis of Stage IV lung cancer at the age of 36.		
""			
6	FIVE EASY THESES, by James Stone. (Houghton Mifflin Harcourt.) An executive	--	1
""	and philanthropist discusses five domestic policy problems and offers solutions.		
""			
7	SHOE DOG, by Phil Knight. (Scribner.) A memoir by the founder of Nike.	3	2
""			
8	THE SLEEP REVOLUTION, by Arianna Huffington. (Harmony.) What scientific	2	5
""	research reveals about the dangers of sleep deprivation, and tips for achieving		
""	better sleep habits.		
""			
9	FIVE PRESIDENTS, by Clint Hill with Lisa McCubbin. (Gallery Books.) A retired	--	1
""	Secret Service agent discusses his experience with presidents from Eisenhower to		
""	Ford.		
""			
10	FIRST WOMEN, by Kate Andersen Brower. (Harper.) The 10 first ladies since	12	4
""	1960, based on interviews with White House staff, social secretaries and friends,		
""	"by the author of ""The Residence."""		
""			
11	RED PLATOON, by Clinton Romesha. (Dutton.) The deadly 13-hour battle for a	--	1
""	remote combat outpost in Afghanistan in 2009, by a soldier who received the		
""	Medal of Honor.		
""			
12	RUTHLESS, by Ron Miscavige with Dan Koon. (St. Martin's.) The father of	--	1
""	Scientology's leader criticizes his management of the organization.		
""			
13	BETWEEN THE WORLD AND ME, by Ta-Nehisi Coates. (Spiegel & Grau.) A	6	43
""	meditation on race in America; winner of the National Book Award.		
""			
14	PAUL MCCARTNEY, by Philip Norman. (Little, Brown.) A life, by the author of	--	1
""	"""Shout! The Beatles in Their Generation"" and ""John Lennon."""		
